,Power
743,224.7777778
744,133.3333333
745,120.4255319
746,110.0
747,87.07692308
748,54.0
749,250.0
750,80.0
751,72.625
752,196.3361345
753,48.0
754,129.5
755,64.0
756,51.0
757,93.6
758,90.85714286
759,368.6666667
760,105.5454545
761,83.0
762,81.74193548
763,114.0
764,113.2826087
765,51.33333333
766,110.0
767,234.8461538
768,105.25
769,91.44117647
770,173.0
771,117.0243902
772,59.5
773,230.0
774,102.7261905
775,329.0
776,102.0
777,433.5
778,242.0
779,55.0
780,47.0
781,101.12
782,78.4
783,57.86666667
784,75.5
785,49.13333333
786,74.0
787,98.0
788,338.0
789,64.2
790,239.2
791,450.0
792,112.0714286
793,121.0
794,105.0
795,102.0
796,100.8
797,419.0
798,147.0
799,106.3023256
800,103.0
801,60.11111111
802,70.30769231
803,101.8181818
804,94.03389831
805,68.57142857
806,89.46153846
807,75.57692308
808,126.1111111
809,71.33333333
810,60.96296296
811,130.25
812,67.95652174
813,87.31034483
814,60.8
815,106.225
816,74.4
817,72.58139535
818,86.45454545
819,125.4358974
820,131.6
821,149.7096774
822,80.0
823,79.76666667
824,94.33333333
825,91.61016949
826,66.97058824
827,105.1692308
828,103.6769231
829,225.0
830,81.66666667
831,75.64864865
832,182.5714286
833,89.34782609
834,192.4
835,104.2
836,67.0
837,76.31578947
838,95.0
839,53.88235294
840,145.0
841,93.01190476
842,99.0
843,137.7741935
844,53.81818182
845,117.7058824
846,196.3361345
847,90.625
848,167.25
849,63.56410256
850,92.82051282
851,124.8571429
852,103.4285714
853,199.7272727
854,61.27272727
855,118.1851852
856,114.8202247
857,93.58695652
858,50.0
859,52.84615385
860,135.2909091
861,101.8947368
862,68.90909091
863,178.5555556
864,53.0
865,74.73333333
866,66.42857143
867,98.04761905
868,97.71875
869,52.44444444
870,85.71428571
871,52.38461538
872,64.625
873,112.75
874,113.3529412
875,103.1086957
876,74.0
877,51.77777778
878,166.3157895
879,69.0
880,85.69230769
881,94.03846154
882,246.3333333
883,113.375
884,114.6538462
885,64.0
886,85.28
887,80.0
888,84.2
889,73.48837209
890,188.3333333
891,172.3157895
892,184.1666667
893,104.2264151
894,117.4311927
895,50.0
896,78.85294118
897,97.6
898,99.0
899,70.92156863
900,109.6666667
901,146.122449
902,92.33333333
903,223.5454545
904,94.0625
905,128.8888889
906,88.09090909
907,113.3529412
908,75.4
909,114.0
910,96.0
911,213.1538462
912,92.36363636
913,117.5789474
914,293.5333333
915,115.3
916,100.5945946
917,223.8333333
918,70.72727273
919,50.0
920,176.25
921,70.33333333
922,184.0
923,144.6363636
924,166.0
925,67.0
926,40.81818182
927,55.375
928,40.0
929,105.7142857
930,165.0
931,213.5
932,202.125
933,151.6666667
934,150.4545455
935,47.75
936,104.2017544
937,92.30769231
938,48.0
939,115.8333333
940,95.09677419
941,61.0
942,103.0
943,96.05263158
944,116.2916667
945,67.02325581
946,108.0
947,113.2826087
948,110.0
949,105.875
950,98.2
951,68.26923077
952,138.2833333
953,86.0
954,250.0
955,75.09090909
956,109.1052632
957,105.0
958,96.92592593
959,82.2
960,131.6
961,53.0
962,90.88461538
963,82.25
964,76.0
965,309.0
966,48.66666667
967,115.0
968,190.0
969,55.0
970,107.3793103
971,97.57894737
972,88.0
973,79.30645161
974,126.5
975,420.0
976,120.1538462
977,66.66666667
978,113.8
979,33.33333333
980,50.875
981,128.5
982,105.0
983,59.6
984,70.0
985,86.63855422
986,82.15789474
987,111.3076923
988,84.92682927
989,114.6818182
990,125.7058824
991,64.45454545
992,59.875
993,210.0
994,47.45454545
995,70.0
996,81.375
997,80.5
998,110.0
999,67.0
1000,96.0
1001,103.0
1002,110.0
1003,58.44444444
1004,80.42857143
1005,207.6097561
1006,77.0
1007,148.5185185
1008,35.8
1009,144.2307692
1010,81.28571429
1011,131.6666667
1012,326.0
1013,68.875
1014,235.0
1015,120.3333333
1016,69.6
1017,123.9333333
1018,50.0
1019,74.0
1020,114.2692308
1021,74.21428571
1022,230.0
1023,69.875
1024,88.73333333
1025,135.5
1026,375.0
1027,104.1666667
1028,109.0769231
1029,60.0
1030,89.0
1031,45.0
1032,146.0
1033,55.4
1034,113.84
1035,51.4
1036,115.3333333
1037,99.0
1038,428.2
1039,82.0
1040,228.0
1041,83.5
1042,199.0
1043,59.58333333
1044,177.0
1045,135.3773585
1046,63.0
1047,221.0
1048,91.75
1049,82.33333333
1050,98.0
1051,52.5
1052,70.25
1053,145.75
1054,121.0625
1055,94.0
1056,283.0
1057,91.75
1058,220.5
1059,75.0
1060,81.0
1061,134.3333333
1062,108.625
1063,29.0
1064,94.0
1065,122.6666667
1066,81.16666667
1067,60.0
1068,72.85185185
1069,253.6666667
1070,125.36
1071,78.0
1072,110.6666667
1073,82.15789474
1074,79.875
1075,72.0
1076,84.0
1077,163.5
1078,93.6
1079,73.08333333
1080,66.35483871
1081,117.7857143
1082,410.0
1083,89.2
1084,111.2
1085,75.0
1086,67.33333333
1087,127.6666667
1088,119.6666667
1089,282.25
1090,103.5
1091,381.0
1092,174.3333333
1093,126.1451613
1094,74.0
1095,99.52380952
1096,63.29411765
1097,121.0
1098,98.0
1099,135.5555556
1100,110.0
1101,115.4666667
1102,137.5
1103,390.0
1104,114.0
1105,120.4255319
1106,69.0
1107,316.3333333
1108,103.0833333
1109,89.0
1110,190.0
1111,90.94117647
1112,336.0
1113,60.625
1114,88.0
1115,73.0
1116,87.07692308
1117,133.3333333
1118,105.5454545
1119,118.0
1120,163.7142857
1121,250.0
1122,110.0
1123,188.0
1124,83.0
1125,121.0
1126,196.3361345
1127,120.4255319
1128,257.5
1129,101.0
1130,51.0
1131,114.5
1132,141.4444444
1133,144.375
1134,54.5
1135,103.0
1136,122.1428571
1137,72.625
1138,250.0
1139,129.5
1140,51.33333333
1141,48.0
1142,116.25
1143,64.0
1144,100.0
1145,59.5
1146,57.86666667
1147,47.0
1148,224.7777778
1149,110.0
1150,102.0
1151,98.0
1152,117.0243902
1153,368.6666667
1154,74.0
1155,173.0
1156,90.85714286
1157,54.0
1158,114.0
1159,80.0
1160,64.2
1161,101.12
1162,100.8
1163,234.8461538
1164,78.4
1165,150.6086957
1166,230.0
1167,70.30769231
1168,433.5
1169,60.11111111
1170,58.66666667
1171,75.0
1172,91.44117647
1173,106.3023256
1174,190.0
1175,102.0
1176,450.0
1177,112.0714286
1178,72.42857143
1179,81.74193548
1180,239.2
1181,102.7261905
1182,130.5555556
1183,121.8571429
1184,105.0
1185,419.0
1186,338.0
1187,66.0
1188,242.0
1189,147.0
1190,121.0
1191,360.0
1192,220.0
1193,55.0
1194,49.28571429
1195,44.0
1196,94.03389831
1197,68.57142857
1198,89.46153846
1199,75.57692308
1200,130.25
1201,126.1111111
1202,71.33333333
1203,60.96296296
1204,67.95652174
1205,87.31034483
1206,60.8
1207,106.225
1208,74.4
1209,72.58139535
1210,86.45454545
1211,125.4358974
1212,131.6
1213,149.7096774
1214,91.61016949
1215,80.0
1216,94.33333333
1217,79.76666667
1218,81.66666667
1219,105.1692308
1220,103.6769231
1221,67.0
1222,66.97058824
1223,225.0
1224,182.5714286
1225,53.88235294
1226,63.56410256
1227,99.0
1228,75.64864865
1229,192.4
1230,53.81818182
1231,89.34782609
1232,76.31578947
1233,145.0
1234,93.01190476
1235,92.82051282
1236,137.7741935
1237,117.7058824
1238,95.0
1239,104.2
1240,93.58695652
1241,124.8571429
1242,167.25
1243,196.3361345
1244,103.4285714
1245,74.0
1246,199.7272727
1247,61.27272727
1248,90.625
1249,135.2909091
1250,118.1851852
1251,114.8202247
1252,98.04761905
1253,68.90909091
1254,85.71428571
1255,178.5555556
1256,52.84615385
1257,101.8947368
1258,50.0
1259,113.3529412
1260,112.75
1261,53.0
1262,52.44444444
1263,166.3157895
1264,69.0
1265,66.42857143
1266,52.38461538
1267,64.625
1268,113.375
1269,97.71875
1270,84.2
1271,246.3333333
1272,114.6538462
1273,74.73333333
1274,94.03846154
1275,64.0
1276,117.4311927
1277,172.3157895
1278,85.69230769
1279,85.28
1280,103.1086957
1281,73.48837209
1282,70.92156863
1283,104.2264151
1284,188.3333333
1285,51.77777778
1286,97.6
1287,80.0
1288,184.1666667
1289,78.85294118
1290,109.6666667
1291,75.4
1292,146.122449
1293,92.33333333
1294,94.0625
1295,223.5454545
1296,50.0
1297,114.0
1298,92.36363636
1299,117.5789474
1300,293.5333333
1301,166.0
1302,223.8333333
1303,213.1538462
1304,50.0
1305,40.0
1306,96.0
1307,113.3529412
1308,88.09090909
1309,128.8888889
1310,48.0
1311,67.0
1312,68.26923077
1313,115.3
1314,70.33333333
1315,213.5
1316,40.81818182
1317,144.6363636
1318,116.2916667
1319,184.0
1320,47.75
1321,92.30769231
1322,103.0
1323,100.5945946
1324,55.375
1325,151.6666667
1326,202.125
1327,99.0
1328,95.09677419
1329,105.7142857
1330,104.2017544
1331,115.8333333
1332,61.0
1333,82.2
1334,176.25
1335,70.72727273
1336,98.2
1337,70.0
1338,105.0
1339,96.05263158
1340,250.0
1341,67.02325581
1342,84.92682927
1343,138.2833333
1344,110.0
1345,50.875
1346,66.66666667
1347,53.0
1348,109.1052632
1349,165.0
1350,105.875
1351,97.57894737
1352,67.0
1353,114.6818182
1354,125.7058824
1355,107.3793103
1356,115.0
1357,76.0
1358,113.2826087
1359,309.0
1360,150.4545455
1361,96.92592593
1362,81.375
1363,55.0
1364,90.88461538
1365,33.33333333
1366,131.6
1367,105.0
1368,82.25
1369,128.5
1370,75.09090909
1371,126.5
1372,190.0
1373,110.0
1374,420.0
1375,79.30645161
1376,82.15789474
1377,108.0
1378,111.3076923
1379,47.45454545
1380,80.5
1381,48.66666667
1382,59.875
1383,88.0
1384,64.45454545
1385,70.0
1386,69.875
1387,96.0
1388,113.8
1389,77.0
1390,103.0
1391,45.0
1392,120.1538462
1393,59.6
1394,210.0
1395,207.6097561
1396,110.0
1397,88.73333333
1398,80.42857143
1399,35.8
1400,74.21428571
1401,135.5
1402,74.0
1403,148.5185185
1404,58.44444444
1405,235.0
1406,326.0
1407,89.0
1408,131.6666667
1409,91.75
1410,115.3333333
1411,120.3333333
1412,230.0
1413,104.1666667
1414,109.0769231
1415,68.875
1416,375.0
1417,99.0
1418,51.4
1419,82.0
1420,60.0
1421,29.0
1422,98.0
1423,70.25
1424,72.85185185
1425,50.0
1426,63.0
1427,146.0
1428,428.2
1429,79.875
1430,177.0
1431,78.0
1432,125.36
1433,69.6
1434,199.0
1435,91.75
1436,59.58333333
1437,228.0
1438,94.0
1439,221.0
1440,144.2307692
1441,134.3333333
1442,110.6666667
1443,82.15789474
1444,55.4
1445,75.0
1446,82.33333333
1447,93.6
1448,121.0625
1449,73.08333333
1450,84.0
1451,108.625
1452,220.5
1453,94.0
1454,67.33333333
1455,283.0
1456,135.3773585
1457,66.35483871
1458,60.0
1459,123.9333333
1460,75.0
1461,114.2692308
1462,117.7857143
1463,253.6666667
1464,145.75
1465,122.6666667
1466,89.2
1467,163.5
1468,119.6666667
1469,126.1451613
1470,111.2
1471,115.4666667
1472,81.0
1473,81.28571429
1474,105.5454545
1475,86.0
1476,410.0
1477,98.0
1478,127.6666667
1479,103.5
1480,72.0
1481,174.3333333
1482,381.0
1483,83.5
1484,63.29411765
1485,87.07692308
1486,137.5
1487,121.0
1488,336.0
1489,133.3333333
1490,83.0
1491,390.0
1492,90.94117647
1493,69.0
1494,114.0
1495,118.0
1496,57.86666667
1497,52.5
1498,113.84
1499,282.25
1500,250.0
1501,316.3333333
1502,110.0
1503,47.0
1504,196.3361345
1505,98.0
1506,88.0
1507,59.5
1508,51.33333333
1509,120.4255319
1510,102.0
1511,120.4255319
1512,51.0
1513,74.0
1514,74.0
1515,190.0
1516,188.0
1517,103.0833333
1518,64.2
1519,163.7142857
1520,81.16666667
1521,110.0
1522,117.0243902
1523,250.0
1524,72.625
1525,129.5
1526,101.12
1527,58.66666667
1528,141.4444444
1529,48.0
1530,114.5
1531,100.8
1532,64.0
1533,173.0
1534,122.1428571
1535,70.30769231
1536,144.375
1537,60.11111111
1538,75.0
1539,72.42857143
1540,60.625
1541,54.5
1542,257.5
1543,224.7777778
1544,121.0
1545,99.52380952
1546,78.4
1547,121.8571429
1548,114.0
1549,49.28571429
1550,368.6666667
1551,44.0
1552,130.5555556
1553,230.0
1554,106.3023256
1555,90.85714286
1556,135.5555556
1557,103.0
1558,234.8461538
1559,433.5
1560,87.71428571
1561,102.0
1562,66.0
1563,450.0
1564,110.0
1565,110.3333333
1566,112.0714286
1567,54.0
1568,239.2
1569,105.0
1570,87.71428571
1571,419.0
1572,220.0
1573,360.0
1574,91.44117647
1575,104.1428571
1576,121.0
1577,43.0
1578,101.0
1579,116.25
1580,235.0
1581,98.57142857
1582,102.7261905
1583,68.57142857
1584,94.03389831
1585,89.46153846
1586,75.57692308
1587,130.25
1588,126.1111111
1589,71.33333333
1590,60.96296296
1591,67.95652174
1592,87.31034483
1593,60.8
1594,106.225
1595,74.4
1596,72.58139535
1597,86.45454545
1598,131.6
1599,125.4358974
1600,149.7096774
1601,91.61016949
1602,63.56410256
1603,67.0
1604,111.0
1605,81.66666667
1606,53.88235294
1607,80.0
1608,103.6769231
1609,105.1692308
1610,99.0
1611,94.33333333
1612,225.0
1613,182.5714286
1614,53.81818182
1615,66.97058824
1616,92.82051282
1617,79.76666667
1618,192.4
1619,74.0
1620,75.64864865
1621,117.7058824
1622,89.34782609
1623,93.58695652
1624,93.01190476
1625,137.7741935
1626,145.0
1627,76.31578947
1628,95.0
1629,124.8571429
1630,104.2
1631,167.25
1632,103.4285714
1633,196.3361345
1634,98.04761905
1635,199.7272727
1636,68.75
1637,135.2909091
1638,61.27272727
1639,85.71428571
1640,114.8202247
1641,118.1851852
1642,68.90909091
1643,113.3529412
1644,90.625
1645,178.5555556
1646,112.75
1647,166.3157895
1648,69.0
1649,101.8947368
1650,84.2
1651,50.0
1652,52.84615385
1653,70.92156863
1654,117.4311927
1655,52.44444444
1656,113.375
1657,53.0
1658,172.3157895
1659,64.0
1660,75.4
1661,246.3333333
1662,114.6538462
1663,104.2264151
1664,97.6
1665,109.6666667
1666,85.28
1667,94.03846154
1668,78.85294118
1669,188.3333333
1670,73.48837209
1671,94.0625
1672,92.33333333
1673,52.38461538
1674,146.122449
1675,184.1666667
1676,64.625
1677,223.5454545
1678,66.42857143
1679,85.69230769
1680,80.0
1681,92.36363636
1682,114.0
1683,68.26923077
1684,97.71875
1685,166.0
1686,48.0
1687,117.5789474
1688,50.0
1689,40.0
1690,74.73333333
1691,223.8333333
1692,50.0
1693,293.5333333
1694,116.2916667
1695,103.1086957
1696,70.0
1697,84.92682927
1698,51.77777778
1699,67.0
1700,103.0
1701,50.875
1702,92.30769231
1703,213.5
1704,67.0
1705,82.2
1706,213.1538462
1707,47.75
1708,66.66666667
1709,113.3529412
1710,95.09677419
1711,70.33333333
1712,184.0
1713,115.3
1714,104.2017544
1715,144.6363636
1716,105.0
1717,96.0
1718,40.81818182
1719,115.8333333
1720,61.0
1721,98.2
1722,114.6818182
1723,283.0
1724,125.7058824
1725,202.125
1726,151.6666667
1727,53.0
1728,250.0
1729,128.8888889
1730,81.375
1731,138.2833333
1732,97.57894737
1733,69.875
1734,109.1052632
1735,110.0
1736,67.02325581
1737,110.0
1738,33.33333333
1739,107.3793103
1740,96.05263158
1741,115.0
1742,55.375
1743,105.7142857
1744,105.875
1745,88.09090909
1746,309.0
1747,45.0
1748,105.0
1749,76.0
1750,55.0
1751,128.5
1752,420.0
1753,90.88461538
1754,82.15789474
1755,100.5945946
1756,126.5
1757,82.25
1758,47.45454545
1759,131.6
1760,80.5
1761,96.92592593
1762,88.73333333
1763,99.0
1764,59.875
1765,190.0
1766,70.0
1767,79.30645161
1768,111.3076923
1769,96.0
1770,64.45454545
1771,75.09090909
1772,77.0
1773,91.75
1774,113.2826087
1775,135.5
1776,176.25
1777,70.72727273
1778,74.21428571
1779,72.85185185
1780,103.0
1781,88.0
1782,29.0
1783,113.8
1784,35.8
1785,89.0
1786,207.6097561
1787,70.25
1788,48.66666667
1789,74.0
1790,80.42857143
1791,115.3333333
1792,79.875
1793,110.0
1794,235.0
1795,98.0
1796,165.0
1797,150.4545455
1798,125.36
1799,78.0
1800,210.0
1801,326.0
1802,148.5185185
1803,108.0
1804,104.1666667
1805,109.0769231
1806,99.0
1807,51.4
1808,82.0
1809,230.0
1810,60.0
1811,82.15789474
1812,91.75
1813,110.6666667
1814,63.0
1815,177.0
1816,94.0
1817,134.3333333
1818,93.6
1819,67.33333333
1820,120.1538462
1821,73.08333333
1822,120.3333333
1823,428.2
1824,131.6666667
1825,68.875
1826,221.0
1827,59.6
1828,59.58333333
1829,146.0
1830,66.35483871
1831,84.0
1832,228.0
1833,58.44444444
1834,75.0
1835,199.0
1836,75.0
1837,105.5454545
1838,94.0
1839,60.0
1840,108.625
1841,121.0625
1842,117.7857143
1843,57.86666667
1844,220.5
1845,115.4666667
1846,82.33333333
1847,119.6666667
1848,87.07692308
1849,126.1451613
1850,89.2
1851,55.4
1852,163.5
1853,83.0
1854,98.0
1855,253.6666667
1856,47.0
1857,111.2
1858,69.6
1859,98.0
1860,59.5
1861,137.5
1862,122.6666667
1863,133.3333333
1864,127.6666667
1865,135.3773585
1866,103.5
1867,336.0
1868,174.3333333
1869,102.0
1870,69.0
1871,250.0
1872,144.2307692
1873,58.66666667
1874,90.94117647
1875,50.0
1876,410.0
1877,118.0
1878,74.0
1879,63.29411765
1880,381.0
1881,64.2
1882,390.0
1883,51.33333333
