,Total
3648,"1,238"
3649,"1,203"
3650,"1,191"
3651,"1,155"
3652,"1,131"
3653,"1,113"
3654,"1,098"
3655,"1,045"
3656,"1,035"
3657,"1,031"
3658,1300035
3659,936912
3660,737265
3661,634242
3662,608673
3663,559237
3664,491696
3665,478719
3666,468909
3667,463593
3668,414886
3669,373445
3670,362781
3671,336738
3672,326026
3673,295115
3674,221567
3675,219485
3676,218514
3677,193670
3678,191768
3679,181840
3680,173413
3681,167993
3682,166571
3683,159017
3684,156396
3685,153869
3686,144399
3687,144071
3688,139350
3689,132919
3690,130069
3691,125411
3692,111236
3693,110642
3694,109294
3695,109009
3696,100696
3697,"96,375"
3698,"93,604"
3699,"92,660"
3700,"80,403"
3701,"79,679"
3702,"75,985"
3703,"75,979"
3704,"72,472"
3705,"72,256"
3706,"71,071"
3707,"69,782"
3708,"69,569"
3709,"68,896"
3710,"65,248"
3711,"64,854"
3712,"62,497"
3713,"61,324"
3714,"58,232"
3715,"57,089"
3716,"55,660"
3717,"55,260"
3718,"54,245"
3719,"52,943"
3720,"52,159"
3721,"51,525"
3722,"51,332"
3723,"51,167"
3724,"51,013"
3725,"49,934"
3726,"49,189"
3727,"48,631"
3728,"48,590"
3729,"46,533"
3730,"46,052"
3731,"45,289"
3732,"45,091"
3733,"42,718"
3734,"41,911"
3735,"41,650"
3736,"41,434"
3737,"41,159"
3738,"40,802"
3739,"40,722"
3740,"40,408"
3741,"40,135"
3742,"39,888"
3743,"39,405"
3744,"38,218"
3745,"38,170"
3746,"37,737"
3747,"37,182"
3748,"34,971"
3749,"34,529"
3750,"30,638"
3751,"30,534"
3752,"29,352"
3753,"29,227"
3754,"28,407"
3755,"28,254"
3756,"28,251"
3757,"28,132"
3758,"27,998"
3759,"27,863"
3760,"27,543"
3761,"27,497"
3762,"27,053"
3763,"26,881"
3764,"26,405"
3765,"25,574"
3766,"25,401"
3767,"25,342"
3768,"25,103"
3769,"24,797"
3770,"24,709"
3771,"24,656"
3772,"24,372"
3773,"23,349"
3774,"23,334"
3775,"23,330"
3776,"23,231"
3777,"22,208"
3778,"22,010"
3779,"21,941"
3780,"21,144"
3781,"21,102"
3782,"20,922"
3783,"20,322"
3784,"20,050"
3785,"19,777"
3786,"19,757"
3787,"18,832"
3788,"18,247"
3789,"18,089"
3790,"18,078"
3791,"17,927"
3792,"17,624"
3793,"17,496"
3794,"17,243"
3795,"16,812"
3796,"16,719"
3797,"16,209"
3798,"16,149"
3799,"16,089"
3800,"15,894"
3801,"15,755"
3802,"15,684"
3803,"14,796"
3804,"14,638"
3805,"14,467"
3806,"14,151"
3807,"14,138"
3808,"14,062"
3809,"13,760"
3810,"13,738"
3811,"13,409"
3812,"13,367"
3813,"13,312"
3814,"13,252"
3815,"12,922"
3816,"12,296"
3817,"11,973"
3818,"11,719"
3819,"11,715"
3820,"11,706"
3821,"11,588"
3822,"11,406"
3823,"11,269"
3824,"11,145"
3825,"11,137"
3826,"11,136"
3827,"11,132"
3828,"11,069"
3829,"10,957"
3830,"10,684"
3831,"10,290"
3832,"10,115"
3833,"10,083"
3834,"9,966"
3835,"9,834"
3836,"9,593"
3837,"9,377"
3838,"9,269"
3839,"8,994"
3840,"8,630"
3841,"8,173"
3842,"8,039"
3843,"8,033"
3844,"7,954"
3845,"7,942"
3846,"7,936"
3847,"7,931"
3848,"7,925"
3849,"7,890"
3850,"7,734"
3851,"7,693"
3852,"7,676"
3853,"7,673"
3854,"7,488"
3855,"7,453"
3856,"7,415"
3857,"7,407"
3858,"7,141"
3859,"7,088"
3860,"7,048"
3861,"6,990"
3862,"6,944"
3863,"6,931"
3864,"6,902"
3865,"6,696"
3866,"6,501"
3867,"6,457"
3868,"5,963"
3869,"5,585"
3870,"5,571"
3871,"5,566"
3872,"5,419"
3873,"5,377"
3874,"5,312"
3875,"5,081"
3876,"5,067"
3877,"5,037"
3878,"5,036"
3879,"4,966"
3880,"4,620"
3881,"4,527"
3882,"4,442"
3883,"4,344"
3884,"4,319"
3885,"4,185"
3886,"4,127"
3887,"4,084"
3888,"3,982"
3889,"3,941"
3890,"3,900"
3891,"3,879"
3892,"3,877"
3893,"3,833"
3894,"3,803"
3895,"3,794"
3896,"3,768"
3897,"3,714"
3898,"3,468"
3899,"3,440"
3900,"3,436"
3901,"3,246"
3902,"3,216"
3903,"3,206"
3904,"3,037"
3905,"3,014"
3906,"2,915"
3907,"2,742"
3908,"2,585"
3909,"2,545"
3910,"2,543"
3911,"2,497"
3912,"2,493"
3913,"2,452"
3914,"2,449"
3915,"2,260"
3916,"2,244"
3917,"2,240"
3918,"2,204"
3919,"2,148"
3920,"2,133"
3921,"2,111"
3922,"2,092"
3923,"1,827"
3924,"1,815"
3925,"1,775"
3926,"1,763"
3927,"1,735"
3928,"1,720"
3929,"1,715"
3930,"1,647"
3931,"1,619"
3932,"1,542"
3933,"1,499"
3934,"1,498"
3935,"1,490"
3936,"1,465"
3937,"1,445"
3938,"1,375"
3939,"1,365"
3940,"1,353"
3941,"1,279"
3942,"1,273"
3943,"1,223"
3944,"1,174"
3945,"1,158"
3946,"1,121"
3947,"1,120"
3948,"1,089"
3949,"1,086"
3950,"1,066"
3951,"1,065"
3952,"1,058"
3953,"1,014"
3954,"1,013"
3955,"1,012"
3956,"1,009"
3957,1365826
3958,1081735
3959,702926
3960,614075
3961,555915
3962,550461
3963,536358
3964,457106
3965,429361
3966,377262
3967,363140
3968,362631
3969,329584
3970,311156
3971,298481
3972,248428
3973,244990
3974,212638
3975,210122
3976,207401
3977,206271
3978,187854
3979,177527
3980,170669
3981,153356
3982,148281
3983,147847
3984,135847
3985,135610
3986,135094
3987,134290
3988,132832
3989,131903
3990,121917
3991,120717
3992,113955
3993,111944
3994,106507
3995,100733
3996,"90,028"
3997,"88,069"
3998,"87,725"
3999,"83,275"
4000,"81,503"
4001,"80,645"
4002,"74,709"
4003,"72,589"
4004,"70,246"
4005,"69,904"
4006,"69,189"
4007,"67,083"
4008,"65,898"
4009,"65,139"
4010,"63,277"
4011,"62,656"
4012,"60,726"
4013,"56,796"
4014,"55,931"
4015,"55,529"
4016,"53,928"
4017,"50,378"
4018,"50,041"
4019,"48,580"
4020,"48,376"
4021,"46,964"
4022,"45,832"
4023,"45,705"
4024,"45,256"
4025,"44,072"
4026,"43,869"
4027,"43,718"
4028,"43,484"
4029,"42,848"
4030,"42,733"
4031,"41,323"
4032,"41,271"
4033,"40,088"
4034,"39,949"
4035,"38,390"
4036,"38,079"
4037,"37,921"
4038,"37,876"
4039,"37,856"
4040,"37,680"
4041,"37,493"
4042,"36,753"
4043,"34,448"
4044,"32,781"
4045,"32,446"
4046,"32,060"
4047,"31,719"
4048,"31,707"
4049,"31,083"
4050,"30,897"
4051,"29,425"
4052,"29,024"
4053,"28,512"
4054,"27,860"
4055,"27,503"
4056,"26,339"
4057,"26,065"
4058,"25,913"
4059,"24,563"
4060,"23,840"
4061,"23,468"
4062,"22,806"
4063,"22,693"
4064,"22,285"
4065,"22,156"
4066,"21,859"
4067,"21,474"
4068,"20,910"
4069,"20,671"
4070,"20,618"
4071,"20,336"
4072,"20,329"
4073,"20,248"
4074,"20,206"
4075,"20,036"
4076,"20,007"
4077,"19,662"
4078,"19,390"
4079,"18,592"
4080,"18,548"
4081,"18,380"
4082,"17,971"
4083,"17,870"
4084,"16,952"
4085,"16,642"
4086,"16,486"
4087,"16,319"
4088,"15,980"
4089,"15,389"
4090,"15,267"
4091,"14,999"
4092,"14,635"
4093,"14,465"
4094,"14,439"
4095,"14,205"
4096,"13,637"
4097,"13,602"
4098,"13,285"
4099,"13,282"
4100,"13,194"
4101,"12,969"
4102,"12,769"
4103,"12,471"
4104,"12,436"
4105,"12,269"
4106,"12,226"
4107,"12,222"
4108,"11,808"
4109,"11,757"
4110,"11,723"
4111,"11,439"
4112,"11,348"
4113,"10,559"
4114,"10,039"
4115,"9,866"
4116,"9,797"
4117,"9,755"
4118,"9,668"
4119,"9,475"
4120,"9,468"
4121,"9,277"
4122,"9,138"
4123,"9,131"
4124,"8,945"
4125,"8,837"
4126,"8,715"
4127,"8,607"
4128,"8,601"
4129,"8,537"
4130,"8,501"
4131,"8,456"
4132,"8,425"
4133,"8,340"
4134,"8,154"
4135,"7,931"
4136,"7,918"
4137,"7,863"
4138,"7,694"
4139,"7,658"
4140,"7,630"
4141,"7,549"
4142,"7,349"
4143,"7,336"
4144,"7,314"
4145,"7,308"
4146,"7,222"
4147,"7,214"
4148,"7,067"
4149,"6,961"
4150,"6,937"
4151,"6,925"
4152,"6,914"
4153,"6,851"
4154,"6,553"
4155,"6,500"
4156,"6,482"
4157,"6,397"
4158,"6,390"
4159,"6,243"
4160,"6,235"
4161,"5,948"
4162,"5,946"
4163,"5,943"
4164,"5,710"
4165,"5,539"
4166,"5,537"
4167,"5,499"
4168,"5,416"
4169,"5,261"
4170,"5,248"
4171,"5,193"
4172,"5,116"
4173,"5,024"
4174,"4,900"
4175,"4,596"
4176,"4,547"
4177,"4,404"
4178,"4,237"
4179,"4,219"
4180,"4,211"
4181,"4,080"
4182,"4,043"
4183,"3,891"
4184,"3,842"
4185,"3,815"
4186,"3,609"
4187,"3,486"
4188,"3,469"
4189,"3,448"
4190,"3,442"
4191,"3,420"
4192,"3,137"
4193,"3,108"
4194,"3,103"
4195,"2,887"
4196,"2,847"
4197,"2,788"
4198,"2,638"
4199,"2,613"
4200,"2,608"
4201,"2,554"
4202,"2,436"
4203,"2,307"
4204,"2,303"
4205,"2,288"
4206,"2,126"
4207,"2,123"
4208,"2,102"
4209,"1,982"
4210,"1,973"
4211,"1,972"
4212,"1,925"
4213,"1,894"
4214,"1,874"
4215,"1,782"
4216,"1,774"
4217,"1,757"
4218,"1,624"
4219,"1,604"
4220,"1,586"
4221,"1,533"
4222,"1,428"
4223,"1,426"
4224,"1,370"
4225,"1,364"
4226,"1,324"
4227,"1,318"
4228,"1,314"
4229,"1,282"
4230,"1,265"
4231,"1,262"
4232,"1,255"
4233,"1,211"
4234,"1,164"
4235,"1,124"
4236,"1,105"
4237,"1,084"
4238,"1,078"
4239,"1,070"
4240,"1,067"
4241,"1,065"
4242,"1,032"
4243,1417951
4244,1213200
4245,637156
4246,582828
4247,578693
4248,553325
4249,479023
4250,450055
4251,392245
4252,346128
4253,345277
4254,312581
4255,302300
4256,284697
4257,249747
4258,243529
4259,207431
4260,205650
4261,204468
4262,186743
4263,183978
4264,181518
4265,177197
4266,169307
4267,149353
4268,144011
4269,139890
4270,138759
4271,132865
4272,130708
4273,126357
4274,123777
4275,118670
4276,114654
4277,114512
4278,105446
4279,105261
4280,105239
4281,104017
4282,"99,076"
4283,"97,034"
4284,"89,738"
4285,"83,212"
4286,"81,195"
4287,"71,460"
4288,"71,229"
4289,"70,772"
4290,"70,351"
4291,"69,381"
4292,"68,700"
4293,"68,467"
4294,"64,752"
4295,"60,033"
4296,"59,564"
4297,"58,420"
4298,"55,383"
4299,"53,656"
4300,"51,746"
4301,"50,921"
4302,"47,421"
4303,"46,963"
4304,"46,630"
4305,"45,391"
4306,"44,760"
4307,"43,502"
4308,"43,242"
4309,"42,289"
4310,"41,749"
4311,"40,896"
4312,"40,573"
4313,"40,161"
4314,"39,589"
4315,"38,736"
4316,"37,728"
4317,"36,754"
4318,"36,621"
4319,"36,506"
4320,"36,213"
4321,"35,138"
4322,"34,943"
4323,"34,857"
4324,"32,488"
4325,"31,950"
4326,"30,724"
4327,"30,183"
4328,"30,173"
4329,"30,107"
4330,"29,845"
4331,"29,689"
4332,"29,435"
4333,"29,404"
4334,"28,893"
4335,"27,421"
4336,"26,626"
4337,"26,415"
4338,"26,263"
4339,"25,836"
4340,"25,717"
4341,"24,842"
4342,"24,213"
4343,"24,075"
4344,"22,851"
4345,"22,013"
4346,"21,900"
4347,"21,872"
4348,"21,811"
4349,"21,700"
4350,"21,163"
4351,"21,066"
4352,"20,713"
4353,"20,117"
4354,"18,615"
4355,"18,560"
4356,"18,088"
4357,"17,505"
4358,"17,455"
4359,"17,441"
4360,"16,741"
4361,"15,721"
4362,"15,291"
4363,"15,166"
4364,"15,134"
4365,"15,077"
4366,"15,001"
4367,"14,940"
4368,"14,904"
4369,"14,523"
4370,"14,309"
4371,"14,260"
4372,"14,111"
4373,"14,000"
4374,"13,976"
4375,"13,732"
4376,"13,686"
4377,"13,321"
4378,"12,819"
4379,"12,618"
4380,"12,457"
4381,"12,328"
4382,"12,273"
4383,"12,150"
4384,"11,934"
4385,"11,845"
4386,"11,440"
4387,"10,641"
4388,"10,250"
4389,"10,243"
4390,"10,192"
4391,"10,141"
4392,"10,075"
4393,"10,028"
4394,"9,829"
4395,"9,828"
4396,"9,686"
4397,"9,681"
4398,"9,585"
4399,"9,529"
4400,"9,380"
4401,"9,286"
4402,"9,122"
4403,"8,916"
4404,"8,867"
4405,"8,577"
4406,"8,425"
4407,"8,138"
4408,"8,008"
4409,"7,935"
4410,"7,879"
4411,"7,796"
4412,"7,706"
4413,"7,612"
4414,"7,554"
4415,"7,137"
4416,"6,967"
4417,"6,916"
4418,"6,854"
4419,"6,828"
4420,"6,781"
4421,"6,665"
4422,"6,589"
4423,"6,465"
4424,"6,465"
4425,"6,224"
4426,"6,126"
4427,"6,043"
4428,"5,921"
4429,"5,884"
4430,"5,805"
4431,"5,756"
4432,"5,718"
4433,"5,665"
4434,"5,590"
4435,"5,571"
4436,"5,555"
4437,"5,452"
4438,"5,401"
4439,"5,399"
4440,"5,394"
4441,"5,231"
4442,"5,174"
4443,"5,133"
4444,"5,050"
4445,"4,844"
4446,"4,822"
4447,"4,642"
4448,"4,542"
4449,"4,496"
4450,"4,179"
4451,"4,139"
4452,"4,083"
4453,"4,066"
4454,"3,997"
4455,"3,956"
4456,"3,946"
4457,"3,903"
4458,"3,816"
4459,"3,760"
4460,"3,714"
4461,"3,488"
4462,"3,453"
4463,"3,393"
4464,"3,389"
4465,"3,127"
4466,"3,095"
4467,"3,077"
4468,"2,678"
4469,"2,666"
4470,"2,608"
4471,"2,425"
4472,"2,360"
4473,"2,309"
4474,"2,210"
4475,"2,193"
4476,"2,172"
4477,"2,143"
4478,"2,024"
4479,"1,987"
4480,"1,963"
4481,"1,948"
4482,"1,923"
4483,"1,825"
4484,"1,795"
4485,"1,788"
4486,"1,752"
4487,"1,746"
4488,"1,697"
4489,"1,688"
4490,"1,686"
4491,"1,669"
4492,"1,624"
4493,"1,592"
4494,"1,592"
4495,"1,588"
4496,"1,574"
4497,"1,566"
4498,"1,544"
4499,"1,521"
4500,"1,521"
4501,"1,516"
4502,"1,515"
4503,"1,484"
4504,"1,477"
4505,"1,452"
4506,"1,405"
4507,"1,401"
4508,"1,363"
4509,"1,332"
4510,"1,304"
4511,"1,251"
4512,"1,249"
4513,"1,246"
4514,"1,224"
4515,"1,220"
4516,"1,144"
4517,"1,121"
4518,"1,111"
4519,"1,021"
4520,1452665
4521,1321937
4522,623433
4523,550922
4524,549505
4525,541514
4526,451868
4527,436537
4528,411973
4529,359484
4530,321294
4531,289856
4532,272566
4533,254764
4534,233689
4535,230858
4536,218858
4537,200523
4538,164962
4539,162127
4540,156051
4541,151363
4542,148512
4543,144928
4544,138286
4545,138134
4546,129552
4547,128499
4548,128159
4549,121288
4550,119977
4551,117488
4552,115610
4553,113004
4554,112870
4555,112611
4556,109700
4557,105624
4558,102419
4559,101137
4560,"82,707"
4561,"80,930"
4562,"76,020"
4563,"71,648"
4564,"69,243"
4565,"64,016"
4566,"63,035"
4567,"61,856"
4568,"59,914"
4569,"58,803"
4570,"57,036"
4571,"55,370"
4572,"54,522"
4573,"53,795"
4574,"52,952"
4575,"52,198"
4576,"50,753"
4577,"49,283"
4578,"47,883"
4579,"46,173"
4580,"42,554"
4581,"41,833"
4582,"41,438"
4583,"40,823"
4584,"40,718"
4585,"40,463"
4586,"38,382"
4587,"38,342"
4588,"38,145"
4589,"37,840"
4590,"36,324"
4591,"34,555"
4592,"34,423"
4593,"34,017"
4594,"33,622"
4595,"32,555"
4596,"31,095"
4597,"30,845"
4598,"30,303"
4599,"30,250"
4600,"30,171"
4601,"28,857"
4602,"28,701"
4603,"28,046"
4604,"27,967"
4605,"27,383"
4606,"27,146"
4607,"26,907"
4608,"25,970"
4609,"25,469"
4610,"24,677"
4611,"23,383"
4612,"22,552"
4613,"22,429"
4614,"22,424"
4615,"22,370"
4616,"22,221"
4617,"21,730"
4618,"21,581"
4619,"21,266"
4620,"21,263"
4621,"21,231"
4622,"20,863"
4623,"19,719"
4624,"19,443"
4625,"18,996"
4626,"18,847"
4627,"18,749"
4628,"18,733"
4629,"18,703"
4630,"17,071"
4631,"16,976"
4632,"16,445"
4633,"16,227"
4634,"16,209"
4635,"15,437"
4636,"15,284"
4637,"14,880"
4638,"14,751"
4639,"14,674"
4640,"14,517"
4641,"14,090"
4642,"14,021"
4643,"13,824"
4644,"13,515"
4645,"13,199"
4646,"13,188"
4647,"12,996"
4648,"12,887"
4649,"12,482"
4650,"12,163"
4651,"11,929"
4652,"11,687"
4653,"11,350"
4654,"11,038"
4655,"10,861"
4656,"10,556"
4657,"10,109"
4658,"10,004"
4659,"9,812"
4660,"9,756"
4661,"9,655"
4662,"9,607"
4663,"9,554"
4664,"9,344"
4665,"9,341"
4666,"9,316"
4667,"9,173"
4668,"9,153"
4669,"9,058"
4670,"8,589"
4671,"8,563"
4672,"8,552"
4673,"8,330"
4674,"8,046"
4675,"8,022"
4676,"7,897"
4677,"7,884"
4678,"7,857"
4679,"7,847"
4680,"7,840"
4681,"7,831"
4682,"7,824"
4683,"7,770"
4684,"7,613"
4685,"7,428"
4686,"7,162"
4687,"7,041"
4688,"7,013"
4689,"6,913"
4690,"6,879"
4691,"6,633"
4692,"6,620"
4693,"6,328"
4694,"6,295"
4695,"6,194"
4696,"5,889"
4697,"5,747"
4698,"5,732"
4699,"5,567"
4700,"5,415"
4701,"5,284"
4702,"5,276"
4703,"5,156"
4704,"5,132"
4705,"5,129"
4706,"5,083"
4707,"5,074"
4708,"5,073"
4709,"4,879"
4710,"4,837"
4711,"4,821"
4712,"4,735"
4713,"4,428"
4714,"4,274"
4715,"4,242"
4716,"4,067"
4717,"3,869"
4718,"3,834"
4719,"3,798"
4720,"3,797"
4721,"3,707"
4722,"3,675"
4723,"3,649"
4724,"3,602"
4725,"3,536"
4726,"3,266"
4727,"3,256"
4728,"3,182"
4729,"3,068"
4730,"2,992"
4731,"2,950"
4732,"2,894"
4733,"2,867"
4734,"2,744"
4735,"2,602"
4736,"2,475"
4737,"2,412"
4738,"2,402"
4739,"2,395"
4740,"2,385"
4741,"2,275"
4742,"2,206"
4743,"2,186"
4744,"2,068"
4745,"2,056"
4746,"2,043"
4747,"2,029"
4748,"2,001"
4749,"1,977"
4750,"1,974"
4751,"1,966"
4752,"1,960"
4753,"1,950"
4754,"1,870"
4755,"1,866"
4756,"1,834"
4757,"1,828"
4758,"1,826"
4759,"1,796"
4760,"1,721"
4761,"1,675"
4762,"1,647"
4763,"1,626"
4764,"1,585"
4765,"1,574"
4766,"1,547"
4767,"1,504"
4768,"1,481"
4769,"1,466"
4770,"1,447"
4771,"1,349"
4772,"1,262"
4773,"1,243"
4774,"1,226"
4775,"1,224"
4776,"1,203"
4777,"1,142"
4778,"1,089"
4779,"1,051"
4780,"1,048"
4781,"1,030"
4782,1499732
4783,1408768
4784,652975
4785,562024
4786,525428
4787,519526
4788,479654
4789,416140
4790,360707
4791,333981
4792,297318
4793,285422
4794,269156
4795,268281
4796,245599
4797,236277
4798,192741
4799,183141
4800,177790
4801,170946
4802,149552
4803,149524
4804,147080
4805,135273
4806,128171
4807,124266
4808,123949
4809,119106
4810,117393
4811,114794
4812,110710
4813,108945
4814,107537
4815,105013
4816,100688
4817,"99,967"
4818,"94,058"
4819,"81,271"
4820,"76,236"
4821,"73,771"
4822,"68,426"
4823,"68,192"
4824,"63,332"
4825,"63,172"
4826,"61,125"
4827,"61,027"
4828,"59,323"
4829,"57,949"
4830,"57,626"
4831,"56,928"
4832,"55,485"
4833,"54,548"
4834,"50,515"
4835,"49,898"
4836,"49,452"
4837,"48,775"
4838,"46,688"
4839,"46,428"
4840,"43,470"
4841,"42,957"
4842,"41,755"
4843,"40,283"
4844,"36,104"
4845,"36,066"
4846,"34,692"
4847,"34,500"
4848,"34,410"
4849,"32,740"
4850,"32,096"
4851,"31,621"
4852,"31,355"
4853,"30,995"
4854,"29,934"
4855,"29,733"
4856,"29,705"
4857,"29,299"
4858,"28,918"
4859,"28,531"
4860,"27,527"
4861,"27,234"
4862,"27,228"
4863,"26,563"
4864,"26,185"
4865,"24,989"
4866,"24,530"
4867,"24,033"
4868,"23,424"
4869,"23,275"
4870,"23,022"
4871,"22,770"
4872,"22,742"
4873,"22,399"
4874,"21,831"
4875,"21,559"
4876,"21,346"
4877,"21,150"
4878,"20,251"
4879,"19,342"
4880,"19,177"
4881,"18,737"
4882,"18,287"
4883,"18,184"
4884,"17,799"
4885,"17,412"
4886,"16,913"
4887,"16,887"
4888,"16,627"
4889,"16,450"
4890,"15,730"
4891,"15,638"
4892,"15,419"
4893,"15,413"
4894,"15,054"
4895,"14,768"
4896,"14,664"
4897,"13,924"
4898,"13,753"
4899,"13,623"
4900,"13,449"
4901,"13,169"
4902,"12,875"
4903,"12,828"
4904,"12,349"
4905,"12,248"
4906,"12,153"
4907,"12,053"
4908,"11,909"
4909,"11,578"
4910,"11,332"
4911,"11,328"
4912,"11,284"
4913,"11,164"
4914,"10,620"
4915,"10,452"
4916,"10,014"
4917,"9,860"
4918,"9,847"
4919,"9,308"
4920,"9,268"
4921,"9,028"
4922,"9,012"
4923,"8,882"
4924,"8,747"
4925,"8,507"
4926,"8,379"
4927,"7,952"
4928,"7,845"
4929,"7,676"
4930,"7,522"
4931,"7,387"
4932,"7,208"
4933,"6,967"
4934,"6,761"
4935,"6,356"
4936,"6,334"
4937,"6,249"
4938,"6,195"
4939,"6,143"
4940,"6,093"
4941,"5,994"
4942,"5,920"
4943,"5,808"
4944,"5,574"
4945,"5,553"
4946,"5,500"
4947,"5,491"
4948,"5,465"
4949,"5,423"
4950,"5,407"
4951,"5,373"
4952,"5,197"
4953,"4,811"
4954,"4,771"
4955,"4,695"
4956,"4,676"
4957,"4,668"
4958,"4,564"
4959,"4,281"
4960,"4,267"
4961,"4,241"
4962,"4,167"
4963,"4,163"
4964,"4,152"
4965,"4,095"
4966,"4,079"
4967,"4,006"
4968,"3,949"
4969,"3,938"
4970,"3,921"
4971,"3,898"
4972,"3,891"
4973,"3,695"
4974,"3,669"
4975,"3,602"
4976,"3,540"
4977,"3,439"
4978,"3,429"
4979,"3,364"
4980,"3,341"
4981,"3,305"
4982,"3,263"
4983,"3,216"
4984,"3,194"
4985,"3,097"
4986,"3,048"
4987,"2,956"
4988,"2,876"
4989,"2,863"
4990,"2,799"
4991,"2,787"
4992,"2,687"
4993,"2,606"
4994,"2,600"
4995,"2,518"
4996,"2,351"
4997,"2,330"
4998,"2,257"
4999,"2,218"
5000,"2,180"
5001,"2,174"
5002,"2,174"
5003,"2,134"
5004,"2,118"
5005,"2,118"
5006,"1,963"
5007,"1,940"
5008,"1,916"
5009,"1,915"
5010,"1,904"
5011,"1,818"
5012,"1,809"
5013,"1,754"
5014,"1,698"
5015,"1,675"
5016,"1,636"
5017,"1,618"
5018,"1,601"
5019,"1,584"
5020,"1,536"
5021,"1,534"
5022,"1,512"
5023,"1,512"
5024,"1,478"
5025,"1,448"
5026,"1,405"
5027,"1,273"
5028,"1,235"
5029,"1,198"
5030,"1,147"
5031,"1,118"
5032,"1,089"
5033,"1,071"
5034,"1,054"
5035,"1,029"
5036,"1,007"
5037,"1,006"
5038,"1,004"
5039,1536099
5040,1477745
5041,673419
5042,642748
5043,496483
5044,486042
5045,395945
5046,391979
5047,317329
5048,316116
5049,305265
5050,304328
5051,249569
5052,246252
5053,232444
5054,209946
5055,209038
5056,182237
5057,176032
5058,161660
5059,156050
5060,147886
5061,130420
5062,129195
5063,126297
5064,121381
5065,119715
5066,116983
5067,110685
5068,104980
5069,104082
5070,102469
5071,"91,296"
5072,"85,971"
5073,"84,805"
5074,"84,011"
5075,"76,280"
5076,"72,737"
5077,"69,465"
5078,"67,592"
5079,"62,808"
5080,"60,378"
5081,"57,172"
5082,"57,082"
5083,"54,116"
5084,"53,475"
5085,"53,192"
5086,"47,999"
5087,"47,615"
5088,"47,252"
5089,"45,992"
5090,"45,317"
5091,"45,261"
5092,"43,581"
5093,"39,657"
5094,"39,425"
5095,"39,258"
5096,"37,750"
5097,"36,656"
5098,"36,096"
5099,"34,408"
5100,"32,346"
5101,"32,239"
5102,"32,223"
5103,"31,864"
5104,"31,417"
5105,"30,637"
5106,"30,597"
5107,"29,881"
5108,"28,884"
5109,"28,795"
5110,"28,637"
5111,"28,563"
5112,"28,312"
5113,"28,024"
5114,"26,837"
5115,"26,137"
5116,"26,121"
5117,"25,823"
5118,"25,607"
5119,"25,268"
5120,"24,673"
5121,"24,459"
5122,"23,652"
5123,"22,980"
5124,"21,353"
5125,"20,805"
5126,"20,676"
5127,"20,586"
5128,"19,319"
5129,"18,461"
5130,"17,583"
5131,"17,464"
5132,"16,819"
5133,"16,759"
5134,"16,127"
5135,"16,077"
5136,"16,063"
5137,"15,778"
5138,"15,291"
5139,"14,539"
5140,"14,480"
5141,"14,111"
5142,"13,869"
5143,"12,956"
5144,"12,905"
5145,"12,676"
5146,"12,630"
5147,"12,273"
5148,"12,242"
5149,"12,015"
5150,"11,710"
5151,"11,687"
5152,"11,604"
5153,"11,508"
5154,"11,494"
5155,"11,476"
5156,"11,393"
5157,"10,848"
5158,"10,466"
5159,"10,411"
5160,"9,880"
5161,"9,796"
5162,"9,697"
5163,"9,651"
5164,"9,579"
5165,"9,569"
5166,"9,515"
5167,"9,413"
5168,"8,992"
5169,"8,981"
5170,"8,835"
5171,"8,723"
5172,"8,643"
5173,"8,593"
5174,"8,337"
5175,"8,225"
5176,"8,081"
5177,"7,977"
5178,"7,886"
5179,"7,803"
5180,"7,568"
5181,"7,361"
5182,"7,216"
5183,"6,887"
5184,"6,828"
5185,"6,556"
5186,"6,397"
5187,"6,035"
5188,"5,927"
5189,"5,630"
5190,"5,602"
5191,"5,594"
5192,"5,566"
5193,"5,227"
5194,"5,203"
5195,"5,186"
5196,"5,180"
5197,"4,965"
5198,"4,922"
5199,"4,921"
5200,"4,901"
5201,"4,876"
5202,"4,834"
5203,"4,706"
5204,"4,599"
5205,"4,508"
5206,"4,250"
5207,"4,056"
5208,"3,844"
5209,"3,832"
5210,"3,805"
5211,"3,753"
5212,"3,706"
5213,"3,654"
5214,"3,629"
5215,"3,623"
5216,"3,546"
5217,"3,460"
5218,"3,409"
5219,"3,372"
5220,"3,348"
5221,"3,295"
5222,"3,239"
5223,"3,234"
5224,"3,185"
5225,"3,163"
5226,"3,157"
5227,"3,096"
5228,"3,094"
5229,"3,071"
5230,"3,041"
5231,"2,978"
5232,"2,877"
5233,"2,807"
5234,"2,726"
5235,"2,707"
5236,"2,688"
5237,"2,686"
5238,"2,655"
5239,"2,646"
5240,"2,487"
5241,"2,411"
5242,"2,382"
5243,"2,365"
5244,"2,266"
5245,"2,221"
5246,"2,212"
5247,"2,206"
5248,"2,164"
5249,"2,131"
5250,"2,120"
5251,"2,056"
5252,"2,031"
5253,"2,015"
5254,"1,990"
5255,"1,951"
5256,"1,827"
5257,"1,781"
5258,"1,773"
5259,"1,765"
5260,"1,761"
5261,"1,745"
5262,"1,723"
5263,"1,623"
5264,"1,563"
5265,"1,530"
5266,"1,509"
5267,"1,485"
5268,"1,466"
5269,"1,429"
5270,"1,407"
5271,"1,280"
5272,"1,248"
5273,"1,204"
5274,"1,180"
5275,"1,144"
