,Female
469,"31,335"
470,"35,063"
471,"14,725"
472,"48,698"
473,"31,205"
474,"45,474"
475,"13,170"
476,"38,840"
477,"25,461"
478,"14,240"
479,"47,347"
480,"9,427"
481,"16,891"
482,"22,704"
483,"24,754"
484,"14,547"
485,"14,121"
486,"17,318"
487,"32,414"
488,"24,567"
489,"14,649"
490,"15,661"
491,"9,193"
492,"29,176"
493,"18,504"
494,"24,753"
495,"13,613"
496,"25,561"
497,"15,945"
498,"5,405"
499,"24,771"
500,"7,158"
501,"15,291"
502,"15,997"
503,"20,167"
504,"10,334"
505,"10,882"
506,"14,492"
507,"11,021"
508,"10,216"
509,"13,577"
510,"8,835"
511,"3,635"
512,"11,766"
513,"6,655"
514,"6,099"
515,"18,390"
516,"9,441"
517,"13,517"
518,"2,832"
519,"12,155"
520,"6,813"
521,"12,461"
522,"8,107"
523,"3,361"
524,"12,060"
525,"18,170"
526,"10,212"
527,"4,990"
528,"14,893"
529,"8,872"
530,"13,447"
531,"10,714"
532,"17,246"
533,"14,963"
534,"11,121"
535,"10,821"
536,"13,516"
537,"13,083"
538,"17,397"
539,"8,185"
540,"7,240"
541,"6,335"
542,"6,793"
543,"13,785"
544,"13,186"
545,"8,995"
546,"9,274"
547,"2,294"
548,"5,758"
549,"7,517"
550,"10,440"
551,"7,627"
552,"8,312"
553,"6,663"
554,"6,182"
555,"4,275"
556,"6,438"
557,"5,597"
558,"5,594"
559,"10,218"
560,"7,669"
561,"2,408"
562,"2,431"
563,"5,299"
564,"7,855"
565,"4,618"
566,"7,028"
567,"1,603"
568,"3,145"
569,"5,762"
570,"10,551"
571,"3,821"
572,"5,983"
573,"6,556"
574,"1,474"
575,"4,368"
576,"7,991"
577,"4,299"
578,"8,701"
579,"5,643"
580,"8,647"
581,"1,936"
582,"9,862"
583,"3,906"
584,"4,787"
585,"3,095"
586,"3,765"
587,"3,313"
588,"5,094"
589,"7,690"
590,"3,308"
591,"3,512"
592,"5,480"
593,"4,810"
594,"1,723"
595,"6,957"
596,"5,280"
597,"5,097"
598,"4,776"
599,"2,647"
600,"7,403"
601,"10,321"
602,"5,240"
603,"4,768"
604,"7,294"
605,"4,018"
606,"2,776"
607,"3,620"
608,"5,886"
609,"3,017"
610,"7,286"
611,"2,222"
612,"4,733"
613,"4,370"
614,"3,594"
615,"7,185"
616,"3,886"
617,"1,579"
618,"6,007"
619,"4,842"
620,"5,282"
621,"5,534"
622,"2,614"
623,"1,835"
624,"5,319"
625,"2,328"
626,"1,862"
627,"5,463"
628,"1,750"
629,"3,666"
630,747
631,"3,492"
632,981
633,"2,721"
634,"4,711"
635,"2,073"
636,"3,439"
637,"2,133"
638,953
639,"2,810"
640,"2,598"
641,"1,366"
642,"1,368"
643,"4,358"
644,"3,282"
645,"1,004"
646,"1,341"
647,"2,449"
648,770
649,"3,372"
650,"2,312"
651,"2,215"
652,"3,486"
653,864
654,"1,332"
655,894
656,"1,416"
657,"2,320"
658,"1,309"
659,"3,148"
660,"1,007"
661,"1,107"
662,"1,014"
663,"1,757"
664,"2,172"
665,"2,306"
666,"1,930"
667,666
668,"1,276"
669,"1,871"
670,"1,976"
671,506
672,"2,290"
673,"1,815"
674,"1,757"
675,"1,431"
676,"2,311"
677,555
678,"1,618"
679,"1,604"
680,911
681,"1,346"
682,905
683,337
684,"1,242"
685,"1,131"
686,"1,928"
687,979
688,"1,757"
689,710
690,552
691,"1,094"
692,814
693,964
694,286
695,458
696,895
697,"1,069"
698,"1,090"
699,"1,373"
700,"1,120"
701,"1,168"
702,605
703,"1,075"
704,629
705,192
706,"1,498"
707,963
708,667
709,485
710,"1,698"
711,"1,132"
712,622
713,639
714,797
715,726
716,797
717,689
718,835
719,383
720,246
721,839
722,"1,053"
723,273
724,278
725,434
726,719
727,"1,275"
728,416
729,369
730,322
731,883
732,741
733,235
734,408
735,704
736,378
737,237
738,545
739,714
740,499
741,229
742,547
743,233
744,369
745,397
746,534
747,196
748,708
749,174
750,"1,404"
751,637
752,149
753,"1,108"
754,624
755,"1,260"
756,951
757,275
758,291
759,116
760,224
761,717
762,473
763,532
764,675
765,833
766,221
767,117
768,416
769,245
770,164
771,177
772,338
773,462
774,132
775,148
776,267
777,101
778,182
779,502
780,568
781,204
782,148
783,372
784,504
785,731
786,434
787,237
788,78
789,252
790,83
791,90
792,383
793,363
794,277
795,330
796,215
797,40
798,68
799,207
800,445
801,184
802,232
803,628
804,410082
805,596343
806,299999
807,351104
808,122120
809,303023
810,289078
811,"84,572"
812,276933
813,186612
814,296651
815,138803
816,195134
817,100514
818,119640
819,"49,068"
820,"65,934"
821,"58,757"
822,115095
823,122300
824,"80,441"
825,"76,170"
826,"76,676"
827,"58,609"
828,"31,606"
829,"20,836"
830,"56,509"
831,"84,963"
832,"31,105"
833,"58,749"
834,"21,490"
835,"62,131"
836,"47,192"
837,"64,457"
838,"23,393"
839,"59,579"
840,"30,461"
841,"66,567"
842,"23,949"
843,"55,682"
844,"55,185"
845,"18,837"
846,"20,403"
847,"33,331"
848,"15,011"
849,"26,047"
850,"16,819"
851,"27,624"
852,"42,327"
853,"13,452"
854,"37,911"
855,"16,236"
856,"25,831"
857,"17,348"
858,"53,336"
859,"48,990"
860,"14,866"
861,"28,920"
862,"42,104"
863,"32,563"
864,"47,185"
865,"52,629"
866,"29,959"
867,"10,529"
868,"27,929"
869,"35,967"
870,"26,197"
871,"41,092"
872,"39,688"
873,"46,960"
874,"15,269"
875,"25,852"
876,"23,756"
877,"36,381"
878,"17,930"
879,"32,524"
880,"21,453"
881,"20,863"
882,"13,407"
883,"14,365"
884,"9,189"
885,"29,287"
886,"14,930"
887,"20,743"
888,"12,066"
889,"25,240"
890,"13,637"
891,"5,719"
892,"23,594"
893,"7,462"
894,"12,063"
895,"22,562"
896,"9,540"
897,"7,318"
898,"14,074"
899,"14,506"
900,"10,614"
901,"6,590"
902,"13,756"
903,"3,061"
904,"21,583"
905,"12,803"
906,"12,446"
907,"9,807"
908,"13,724"
909,"8,493"
910,"9,075"
911,"10,610"
912,"12,101"
913,"10,653"
914,"3,323"
915,"10,846"
916,"11,217"
917,"4,891"
918,"14,284"
919,"14,032"
920,"2,735"
921,"14,348"
922,"11,059"
923,"8,239"
924,"7,808"
925,"13,453"
926,"17,040"
927,"13,142"
928,"15,703"
929,"11,635"
930,"9,735"
931,"6,226"
932,"7,843"
933,"6,674"
934,"4,730"
935,"14,725"
936,"2,295"
937,"8,379"
938,"7,826"
939,"5,834"
940,"7,426"
941,"10,646"
942,"7,192"
943,"8,486"
944,"3,916"
945,"7,452"
946,"8,137"
947,"8,309"
948,"5,724"
949,"6,124"
950,"8,600"
951,"4,511"
952,"2,562"
953,"8,943"
