,Female
1914,770
1915,504
1916,468
1917,317
1918,369
1919,222
1920,413
1921,159
1922,456
1923,389
1924,359
1925,401
1926,313
1927,480
1928,524
1929,262
1930,638
1931,139
1932,435
1933,301
1934,104
1935,434
1936,162
1937,97
1938,235
1939,81
1940,105
1941,84
1942,112
1943,415
1944,52
1945,274
1946,564
1947,480
1948,65
1949,117
1950,302
1951,335
1952,362
1953,317
1954,67
1955,161
1956,178
1957,580488
1958,340499
1959,279849
1960,386211
1961,110402
1962,339260
1963,131716
1964,310229
1965,209762
1966,283920
1967,303170
1968,140616
1969,"87,928"
1970,101938
1971,162704
1972,112139
1973,"44,619"
1974,"60,713"
1975,"88,015"
1976,"50,852"
1977,"87,260"
1978,109354
1979,"68,898"
1980,"38,041"
1981,"90,003"
1982,106659
1983,"65,633"
1984,"55,670"
1985,"28,542"
1986,"29,350"
1987,"20,480"
1988,"31,969"
1989,"79,440"
1990,"52,275"
1991,"59,101"
1992,"27,744"
1993,"18,354"
1994,"22,059"
1995,"65,833"
1996,"55,338"
1997,"59,375"
1998,"52,053"
1999,"41,262"
2000,"59,650"
2001,"25,008"
2002,"28,718"
2003,"17,548"
2004,"43,304"
2005,"12,467"
2006,"13,476"
2007,"14,186"
2008,"30,788"
2009,"14,527"
2010,"11,099"
2011,"52,312"
2012,"31,073"
2013,"15,996"
2014,"19,133"
2015,"27,702"
2016,"23,971"
2017,"32,423"
2018,"11,908"
2019,"43,438"
2020,"14,893"
2021,"23,742"
2022,"17,343"
2023,"30,451"
2024,"23,482"
2025,"15,927"
2026,"16,348"
2027,"6,131"
2028,"10,808"
2029,"13,845"
2030,"27,016"
2031,"11,709"
2032,"8,330"
2033,"18,188"
2034,"28,620"
2035,"10,765"
2036,"17,102"
2037,"10,334"
2038,"7,142"
2039,"3,847"
2040,"16,152"
2041,"12,929"
2042,"6,782"
2043,"12,152"
2044,"27,841"
2045,"6,813"
2046,"20,866"
2047,"20,896"
2048,"21,444"
2049,"10,659"
2050,"7,269"
2051,"13,959"
2052,"24,281"
2053,"23,505"
2054,"13,556"
2055,"14,528"
2056,"14,391"
2057,"9,542"
2058,"11,909"
2059,"22,620"
2060,"6,294"
2061,"10,425"
2062,"14,997"
2063,"18,943"
2064,"4,578"
2065,"12,052"
2066,"2,983"
2067,"10,055"
2068,"13,455"
2069,"5,508"
2070,"7,129"
2071,"15,257"
2072,"15,034"
2073,"6,707"
2074,"13,642"
2075,"12,259"
2076,"4,653"
2077,"16,820"
2078,"10,269"
2079,"8,933"
2080,"6,030"
2081,"5,596"
2082,"9,384"
2083,"6,767"
2084,"13,848"
2085,"8,492"
2086,"10,943"
2087,"11,168"
2088,"2,177"
2089,"6,840"
2090,"4,187"
2091,"6,261"
2092,"2,089"
2093,"6,383"
2094,"8,572"
2095,"10,359"
2096,"5,372"
2097,"7,687"
2098,"2,917"
2099,"9,359"
2100,"7,137"
2101,"2,428"
2102,"7,554"
2103,"4,856"
2104,"4,319"
2105,"7,513"
2106,"5,874"
2107,"5,085"
2108,"3,409"
2109,"4,834"
2110,"3,760"
2111,"5,244"
2112,"1,736"
2113,"6,334"
2114,"4,661"
2115,"3,139"
2116,"8,631"
2117,"2,280"
2118,"10,140"
2119,"8,607"
2120,"5,928"
2121,"4,658"
2122,"9,819"
2123,"2,082"
2124,"5,707"
2125,"5,566"
2126,"3,202"
2127,"5,018"
2128,"5,668"
2129,"11,929"
2130,"3,090"
2131,"6,005"
2132,"4,148"
2133,"2,422"
2134,"4,241"
2135,"5,763"
2136,"3,402"
2137,"6,965"
2138,"2,864"
2139,"1,552"
2140,"3,229"
2141,"4,177"
2142,"7,741"
2143,"3,123"
2144,"1,997"
2145,"3,684"
2146,"2,535"
2147,"5,952"
2148,"3,086"
2149,"5,813"
2150,"5,665"
2151,"5,879"
2152,"3,609"
2153,"2,397"
2154,"3,687"
2155,"3,793"
2156,"3,904"
2157,"3,884"
2158,"2,893"
2159,"2,894"
2160,"1,708"
2161,"2,188"
2162,"1,291"
2163,"2,445"
2164,"4,740"
2165,"3,409"
2166,"4,348"
2167,"1,468"
2168,"2,598"
2169,"2,430"
2170,"3,007"
2171,"2,095"
2172,"2,744"
2173,"2,956"
2174,"1,126"
2175,954
2176,"2,490"
2177,"2,758"
2178,"2,548"
2179,"2,500"
2180,"4,837"
2181,798
2182,"4,117"
2183,"4,220"
2184,547
2185,"2,233"
2186,"1,579"
2187,"2,376"
2188,"1,883"
2189,873
2190,"1,559"
2191,"1,625"
2192,"2,007"
2193,625
2194,877
2195,"2,824"
2196,"2,469"
2197,"3,000"
2198,"1,659"
2199,"2,945"
2200,"1,024"
2201,945
2202,"2,197"
2203,"2,079"
2204,"2,917"
2205,"2,234"
2206,"1,138"
2207,812
2208,639
2209,"1,083"
2210,"1,680"
2211,"1,240"
2212,517
2213,"1,528"
2214,533
2215,"1,776"
2216,"1,694"
2217,"1,082"
2218,"1,023"
2219,"1,216"
2220,662
2221,"1,507"
2222,893
2223,"1,615"
2224,966
2225,792
2226,"1,380"
2227,"2,775"
2228,"1,183"
2229,453
2230,772
2231,693
2232,"1,091"
2233,468
2234,"2,251"
2235,"1,433"
2236,"1,646"
2237,341
2238,647
2239,459
2240,668
2241,465
2242,"1,309"
2243,815
2244,488
2245,"1,100"
2246,923
2247,"1,290"
2248,658
2249,"1,401"
2250,954
2251,671
2252,466
2253,"1,481"
2254,211
2255,"1,562"
2256,674
2257,692
2258,"1,078"
2259,212
2260,642
2261,209
2262,260
2263,432
2264,"1,151"
2265,904
2266,935
2267,633
2268,650
2269,823
2270,313
2271,356
2272,534
2273,265
2274,187
2275,750
2276,723
2277,"1,343"
2278,547
2279,881
2280,466
2281,275
2282,345
2283,202
2284,521
2285,482
2286,"1,269"
2287,835
2288,348
2289,766
2290,342
2291,189
2292,309
2293,540
2294,285
2295,462
2296,122
2297,670
2298,269
2299,455
2300,123
2301,300
2302,387
2303,216
2304,317
2305,376
2306,105
2307,391
2308,252
2309,67
2310,48
2311,233
2312,194
2313,71
2314,93
2315,156
2316,85
2317,37
2318,249
2319,66
2320,67
2321,578953
2322,305736
2323,270207
2324,390458
2325,120935
2326,339141
2327,131916
2328,316975
2329,208847
2330,278872
2331,290594
2332,118934
2333,138787
2334,101278
2335,"96,197"
2336,146631
2337,127070
2338,100899
2339,"42,921"
2340,"88,131"
2341,"56,378"
2342,"83,515"
2343,"47,092"
2344,"42,648"
2345,"68,938"
2346,"99,554"
2347,"31,820"
2348,"33,031"
2349,"20,852"
2350,"54,904"
2351,"27,774"
2352,"30,863"
2353,"88,295"
2354,"22,879"
2355,"18,345"
2356,"52,879"
2357,"66,330"
2358,"43,892"
2359,"53,350"
2360,"59,111"
2361,"54,439"
2362,"49,087"
2363,"28,596"
2364,"12,622"
2365,"21,859"
2366,"16,044"
2367,"41,696"
2368,"32,365"
2369,"30,202"
2370,"13,208"
2371,"11,841"
2372,"14,017"
2373,"27,106"
2374,"10,516"
2375,"15,972"
2376,"44,859"
2377,"26,411"
2378,"13,568"
2379,"15,159"
2380,"40,516"
2381,"16,713"
2382,"16,508"
2383,"33,265"
2384,"23,579"
2385,"16,318"
2386,"27,460"
2387,"20,417"
2388,"10,110"
2389,"9,818"
2390,"14,573"
2391,"20,333"
2392,"18,899"
2393,"26,432"
2394,"5,952"
2395,"16,065"
2396,"8,437"
2397,"29,317"
2398,"4,169"
2399,"21,220"
2400,"17,695"
2401,"10,827"
2402,"17,928"
2403,"24,268"
2404,"6,738"
2405,"11,395"
2406,"8,104"
2407,"10,314"
2408,"6,522"
2409,"12,064"
2410,"9,201"
2411,"11,488"
2412,"24,311"
2413,"13,331"
2414,"19,175"
2415,"17,757"
2416,"14,240"
2417,"9,585"
2418,"6,708"
2419,"10,901"
2420,"17,667"
2421,"15,239"
2422,"14,924"
2423,"17,706"
2424,"10,819"
2425,"20,235"
2426,"7,848"
2427,"7,967"
2428,"5,123"
2429,"9,703"
2430,"6,625"
2431,"11,085"
2432,"5,423"
2433,"4,351"
2434,"2,824"
2435,"15,393"
2436,"18,643"
2437,"10,525"
2438,"5,091"
2439,"7,327"
2440,"10,940"
2441,"13,390"
2442,"17,108"
2443,"7,361"
2444,"14,793"
2445,"15,378"
2446,"5,631"
2447,"3,377"
2448,"4,269"
2449,"8,372"
2450,"11,610"
2451,"4,165"
2452,"2,131"
2453,"5,830"
2454,"10,689"
2455,"10,686"
2456,"2,103"
2457,"6,226"
2458,"11,811"
2459,"5,973"
2460,"2,775"
2461,"5,918"
2462,"4,572"
2463,"7,912"
2464,"11,586"
2465,"2,304"
2466,"7,218"
2467,"6,491"
2468,"3,868"
2469,"7,065"
2470,"4,855"
2471,"4,266"
2472,"4,330"
2473,"2,860"
2474,"8,527"
2475,"2,287"
2476,"8,111"
2477,"1,679"
2478,"10,136"
2479,"5,872"
2480,"2,662"
2481,"5,074"
2482,"8,205"
2483,"5,438"
2484,"5,681"
2485,"4,640"
2486,"5,599"
2487,"5,223"
2488,"6,233"
2489,"3,132"
2490,"3,058"
2491,"4,324"
2492,"11,784"
2493,"3,598"
2494,"4,030"
2495,"3,589"
2496,"4,511"
2497,"3,959"
2498,"3,930"
2499,"4,072"
2500,"2,740"
2501,"3,225"
2502,"4,235"
2503,"1,612"
2504,"2,713"
2505,"3,449"
2506,"2,542"
2507,"6,894"
2508,"5,543"
2509,"2,782"
2510,"3,614"
2511,"5,671"
2512,"3,039"
2513,"1,227"
2514,"5,861"
2515,"1,363"
2516,"3,542"
2517,"1,754"
2518,"3,507"
2519,"2,431"
2520,"3,935"
2521,"3,434"
2522,"2,584"
2523,"3,397"
2524,"2,570"
2525,"2,935"
2526,"4,473"
2527,"4,088"
2528,"2,884"
2529,"2,940"
2530,"1,504"
2531,"1,752"
2532,"2,726"
2533,879
2534,"3,924"
2535,"1,719"
2536,"2,339"
2537,"4,074"
2538,"1,113"
2539,"1,861"
2540,"2,069"
2541,"2,933"
2542,"4,021"
2543,"1,636"
2544,"2,503"
2545,"1,194"
2546,823
2547,"2,275"
2548,"2,154"
2549,482
2550,"2,318"
2551,"1,576"
2552,"2,695"
2553,"1,451"
2554,"1,375"
2555,"2,679"
2556,"2,673"
2557,"1,902"
2558,"2,897"
2559,"3,148"
2560,"1,605"
2561,"1,289"
2562,"1,152"
2563,"2,753"
2564,"1,730"
2565,869
2566,816
2567,"2,986"
2568,"2,159"
2569,"2,117"
2570,477
2571,892
2572,482
2573,"3,295"
2574,838
2575,906
2576,634
2577,"1,216"
2578,"1,225"
2579,"1,089"
2580,531
2581,536
2582,"1,441"
2583,"1,520"
2584,"2,653"
2585,879
2586,"1,567"
2587,545
2588,864
2589,717
2590,532
2591,"1,148"
2592,572
2593,925
2594,"1,384"
2595,386
2596,882
2597,"1,298"
2598,"1,094"
2599,463
2600,995
2601,722
2602,774
2603,"1,723"
2604,"1,234"
2605,"1,100"
2606,"1,045"
2607,846
2608,583
2609,506
2610,195
2611,727
2612,479
2613,"1,363"
2614,426
2615,615
2616,992
2617,983
2618,232
2619,528
2620,451
2621,"1,059"
2622,706
2623,310
2624,183
2625,581
2626,602
2627,551
2628,148
2629,773
2630,185
2631,268
2632,733
2633,"1,362"
2634,244
2635,701
2636,337
2637,653
2638,360
2639,389
2640,847
2641,488
2642,532
2643,338
2644,257
2645,"1,033"
2646,412
2647,752
2648,132
2649,189
2650,134
2651,477
2652,269
2653,320
2654,441
2655,79
2656,447
2657,311
2658,522
2659,141
2660,389
2661,158
2662,39
2663,88
2664,310
2665,186
2666,361
2667,148
2668,69
2669,302
2670,215
2671,96
2672,105
2673,30
2674,583473
2675,268674
2676,129396
2677,259643
2678,388605
2679,330591
2680,321693
2681,129396
2682,155085
2683,204160
2684,273400
2685,277050
2686,134955
2687,113999
2688,102738
2689,146293
2690,"88,629"
2691,"88,669"
2692,"41,204"
2693,"46,326"
2694,"50,942"
2695,129009
2696,"86,600"
2697,107919
2698,"42,386"
2699,"33,953"
2700,"67,882"
2701,"34,020"
2702,"33,003"
2703,"20,989"
2704,"51,392"
2705,"25,770"
2706,"23,582"
2707,"17,562"
2708,"68,277"
2709,"46,584"
2710,"37,164"
2711,"49,846"
2712,"52,352"
2713,"46,648"
2714,"27,101"
2715,"51,066"
2716,"48,472"
2717,"12,412"
2718,"32,723"
2719,"30,649"
2720,"16,630"
2721,"14,068"
2722,"38,297"
2723,"18,611"
2724,"28,509"
2725,"28,912"
2726,"13,142"
2727,"11,535"
2728,"12,585"
2729,"15,522"
2730,"10,063"
2731,"15,059"
2732,"21,205"
2733,"10,223"
2734,"11,800"
2735,"16,752"
2736,"21,426"
2737,"37,454"
2738,"37,984"
2739,"21,372"
2740,"19,917"
2741,"15,152"
2742,"25,247"
2743,"13,894"
2744,"14,450"
2745,"4,346"
2746,"29,648"
2747,"18,426"
2748,"8,408"
2749,"5,484"
2750,"10,568"
2751,"11,965"
2752,"16,736"
2753,"22,021"
2754,"18,368"
2755,"8,089"
2756,"21,805"
2757,"6,282"
2758,"25,710"
2759,"5,941"
2760,"5,722"
2761,"12,797"
2762,"7,068"
2763,"10,982"
2764,"9,162"
2765,"20,171"
2766,"16,571"
2767,"7,764"
2768,"10,352"
2769,"10,206"
2770,"8,519"
2771,"7,930"
2772,"8,446"
2773,"11,228"
2774,"17,004"
2775,"9,378"
2776,"6,048"
2777,"14,380"
2778,"5,919"
2779,"13,599"
2780,"15,404"
2781,"5,569"
2782,"12,418"
2783,"14,561"
2784,"5,338"
2785,"8,936"
2786,"15,532"
2787,"7,532"
2788,"10,477"
2789,"2,572"
2790,"3,869"
2791,"15,732"
2792,"17,329"
2793,"13,812"
2794,"15,732"
2795,"12,277"
2796,"9,198"
2797,"12,806"
2798,"2,294"
2799,"5,056"
2800,"6,164"
2801,"6,992"
2802,"11,954"
2803,"7,992"
2804,"7,864"
2805,"9,739"
2806,"6,253"
2807,"5,900"
2808,"3,504"
2809,"3,393"
2810,"4,798"
2811,"1,987"
2812,"5,083"
2813,"8,057"
2814,"3,320"
2815,"5,639"
2816,"3,957"
2817,"2,131"
2818,"2,460"
2819,"6,618"
2820,"5,124"
2821,"2,174"
2822,"8,387"
2823,"2,194"
2824,"1,673"
2825,"10,257"
2826,"4,503"
2827,"4,786"
2828,"5,685"
2829,"5,509"
2830,"3,320"
2831,"2,058"
2832,"3,878"
2833,"6,451"
2834,"4,130"
2835,"3,567"
2836,"5,402"
2837,"9,646"
2838,"3,318"
2839,"7,975"
2840,"4,527"
2841,"5,309"
2842,"11,665"
2843,"5,072"
2844,"2,888"
2845,"3,217"
2846,"6,487"
2847,"4,020"
2848,"4,579"
2849,"7,482"
2850,"3,504"
2851,"2,089"
2852,"3,850"
2853,"3,371"
2854,"3,548"
2855,"4,558"
2856,"2,709"
2857,"3,511"
2858,"4,714"
2859,"5,609"
2860,"2,483"
2861,"3,981"
2862,"2,545"
2863,"3,333"
2864,"5,178"
2865,"5,043"
2866,"3,227"
2867,"4,896"
2868,"2,519"
2869,"3,103"
2870,"2,388"
2871,"2,540"
2872,"4,577"
2873,"4,780"
2874,"2,306"
2875,"2,664"
2876,"1,443"
2877,"2,907"
2878,"5,117"
2879,"1,790"
2880,860
2881,"2,682"
2882,"1,722"
2883,"2,590"
2884,"2,428"
2885,"4,001"
2886,834
2887,"2,129"
2888,"2,252"
2889,"1,232"
2890,"2,651"
2891,714
2892,"3,091"
2893,"1,858"
2894,"1,783"
2895,"2,490"
2896,"2,454"
2897,"1,244"
2898,"4,107"
2899,881
2900,"1,489"
2901,436
2902,"2,892"
2903,"1,446"
2904,"2,088"
2905,"1,526"
2906,675
2907,"3,199"
2908,"1,185"
2909,890
2910,"1,381"
2911,"1,011"
2912,"1,789"
2913,"1,243"
2914,"2,604"
2915,"3,067"
2916,620
2917,"2,053"
2918,"1,019"
2919,"2,130"
2920,641
2921,"1,903"
2922,632
2923,693
2924,"1,191"
2925,"1,623"
2926,982
2927,700
2928,"1,705"
2929,970
2930,634
2931,585
2932,776
2933,993
2934,"1,301"
2935,"2,100"
2936,"1,056"
2937,672
2938,320
2939,"1,151"
2940,"1,456"
2941,"1,274"
2942,"1,038"
2943,"1,080"
2944,"1,894"
2945,751
2946,602
2947,552
2948,518
2949,"1,590"
2950,440
2951,746
2952,643
2953,360
2954,837
2955,947
2956,163
2957,488
2958,"1,248"
2959,712
2960,611
2961,377
2962,902
2963,713
2964,506
2965,545
2966,188
2967,439
2968,"1,380"
2969,715
2970,252
2971,"1,391"
2972,635
2973,392
2974,733
2975,205
2976,376
2977,686
2978,921
2979,"1,009"
2980,415
2981,458
2982,580
2983,140
2984,363
2985,373
2986,614
2987,601
2988,211
2989,269
2990,211
2991,462
2992,839
2993,97
2994,411
2995,151
2996,128
2997,69
2998,490
2999,82
3000,473
3001,370
3002,317
3003,381
3004,801
3005,462
3006,89
3007,38
3008,163
3009,183
3010,56
3011,154
3012,105
3013,108
3014,207
3015,601918
3016,137069
3017,226668
3018,252197
3019,382213
3020,199121
3021,326061
3022,127354
3023,307566
3024,266876
3025,190165
3026,260483
3027,130915
3028,123743
3029,124092
3030,165216
3031,"78,185"
3032,"85,032"
3033,"48,225"
3034,"38,584"
3035,113944
3036,"35,097"
3037,"45,450"
3038,113341
3039,"64,484"
3040,"36,561"
3041,"36,467"
3042,"69,969"
3043,"21,275"
3044,"32,777"
3045,"24,303"
3046,"48,126"
3047,"23,215"
3048,"16,405"
3049,"40,967"
3050,"53,303"
3051,"39,820"
3052,"20,068"
3053,"45,622"
3054,"43,722"
3055,"34,333"
3056,"24,920"
3057,"16,617"
3058,"15,760"
3059,"11,216"
3060,"29,644"
3061,"27,183"
3062,"41,968"
3063,"32,600"
3064,"40,948"
3065,"30,734"
3066,"38,864"
3067,"35,584"
3068,"34,974"
3069,"11,777"
3070,"14,570"
3071,"11,942"
3072,"10,297"
3073,"23,579"
3074,"14,569"
3075,"24,008"
3076,"15,563"
3077,"9,936"
3078,"8,963"
3079,"16,488"
3080,"15,104"
3081,"33,288"
3082,"8,541"
3083,"4,686"
3084,"29,639"
3085,"13,769"
3086,"30,585"
3087,"18,165"
3088,"12,105"
3089,"12,613"
3090,"8,267"
3091,"9,087"
3092,"9,786"
3093,"11,286"
3094,"10,254"
3095,"5,006"
3096,"14,213"
3097,"26,817"
3098,"19,182"
3099,"17,412"
3100,"7,315"
3101,"11,103"
3102,"11,459"
3103,"8,769"
3104,"6,997"
3105,"6,622"
3106,"5,406"
3107,"6,926"
3108,"5,239"
3109,"6,621"
3110,"12,365"
3111,"16,942"
3112,"19,586"
3113,"13,726"
3114,"13,642"
3115,"9,676"
3116,"10,893"
3117,"13,631"
3118,"8,676"
3119,"8,874"
3120,"14,731"
3121,"6,850"
3122,"5,524"
3123,"6,909"
3124,"15,285"
3125,"14,339"
3126,"16,682"
3127,"13,920"
3128,"6,548"
3129,"7,595"
3130,"3,566"
3131,"17,473"
3132,"4,433"
3133,"12,857"
3134,"2,464"
3135,"7,766"
3136,"2,273"
3137,"7,058"
3138,"6,332"
3139,"11,984"
3140,"5,655"
3141,"11,532"
3142,"3,829"
3143,"3,064"
3144,"11,397"
3145,"6,636"
3146,"7,773"
3147,"4,345"
3148,"4,950"
3149,"7,242"
3150,"8,175"
3151,"8,342"
3152,"5,330"
3153,"7,177"
3154,"8,493"
3155,"2,592"
3156,"1,760"
3157,"3,791"
3158,"3,910"
3159,"6,528"
3160,"10,381"
3161,"3,431"
3162,"1,864"
3163,"3,964"
3164,"1,594"
3165,"6,734"
3166,"7,905"
3167,"5,820"
3168,"9,724"
3169,"4,145"
3170,"2,165"
3171,"4,865"
3172,"5,166"
3173,"1,945"
3174,"4,079"
3175,"6,514"
3176,"4,584"
3177,"5,124"
3178,"2,475"
3179,"4,079"
3180,"3,777"
3181,"4,873"
3182,"4,867"
3183,"4,103"
3184,"2,716"
3185,"10,611"
3186,"4,690"
3187,"6,454"
3188,"4,543"
3189,"3,636"
3190,"3,189"
3191,"4,105"
3192,"4,305"
3193,"2,736"
3194,"3,629"
3195,"3,853"
3196,"3,098"
3197,"2,180"
3198,"1,690"
3199,"1,022"
3200,"1,718"
3201,"1,658"
3202,"2,843"
3203,"2,827"
3204,"2,340"
3205,"2,989"
3206,"1,941"
3207,"4,641"
3208,"2,863"
3209,"2,241"
3210,"2,742"
3211,"2,417"
3212,"4,383"
3213,"2,013"
3214,"1,805"
3215,"2,808"
3216,"4,204"
3217,"3,517"
3218,"3,972"
3219,836
3220,"2,179"
3221,"2,474"
3222,"3,750"
3223,"2,291"
3224,"2,847"
3225,"2,423"
3226,"1,975"
3227,"1,883"
3228,"4,126"
3229,"1,076"
3230,"3,393"
3231,"1,222"
3232,854
3233,"1,185"
3234,"3,550"
3235,861
3236,"2,802"
3237,"1,004"
3238,737
3239,652
3240,728
3241,774
3242,"1,277"
3243,"1,941"
3244,391
3245,"1,342"
3246,"2,594"
3247,"1,068"
3248,"1,129"
3249,"1,270"
3250,"1,723"
3251,883
3252,634
3253,"1,620"
3254,"1,289"
3255,514
3256,795
3257,"1,496"
3258,984
3259,"1,079"
3260,520
3261,"1,705"
3262,"1,128"
3263,"1,432"
3264,"1,004"
3265,516
3266,"1,237"
3267,962
3268,487
3269,673
3270,565
3271,"1,036"
3272,"1,059"
3273,485
3274,"1,803"
3275,"1,230"
3276,596
3277,958
3278,792
3279,795
3280,416
3281,898
3282,634
3283,"2,037"
3284,"1,078"
3285,"1,660"
3286,377
3287,202
3288,594
3289,144
3290,503
3291,494
3292,"1,053"
3293,512
3294,409
3295,186
3296,269
3297,341
3298,966
3299,"1,061"
3300,714
3301,307
3302,"1,377"
3303,569
3304,995
3305,671
3306,311
3307,754
3308,557
3309,483
3310,529
3311,616
3312,"1,041"
3313,314
3314,336
3315,264
3316,893
3317,152
3318,543
3319,416
3320,111
3321,164
3322,136
3323,343
3324,453
3325,294
3326,377
3327,269
3328,80
3329,433
3330,625
3331,40
3332,143
3333,724
3334,372
3335,383
3336,55
3337,81
3338,98
3339,233
3340,396
3341,153
3342,382
3343,630
3344,212
3345,625691
3346,241476
3347,138468
3348,241938
3349,367492
3350,189997
3351,328691
3352,123339
3353,259214
3354,175070
3355,266016
3356,141474
3357,128903
3358,127017
3359,234542
3360,177930
3361,"48,026"
3362,"81,030"
3363,116897
3364,"68,073"
3365,"34,492"
3366,"34,861"
3367,"38,129"
3368,"39,741"
3369,"59,896"
3370,"92,786"
3371,"21,236"
3372,"30,467"
3373,"31,547"
3374,"24,654"
3375,"53,325"
3376,"54,720"
3377,"42,062"
3378,"21,662"
3379,"22,992"
3380,"20,393"
3381,"15,459"
3382,"17,224"
3383,"37,884"
3384,"18,445"
3385,"32,504"
3386,"45,830"
3387,"39,817"
3388,"32,791"
3389,"39,266"
3390,"22,596"
3391,"31,226"
3392,"30,951"
3393,"37,551"
3394,"36,674"
3395,"9,263"
3396,"25,298"
3397,"24,625"
3398,"32,817"
3399,"23,249"
3400,"17,437"
3401,"12,864"
3402,"10,532"
3403,"13,233"
3404,"30,698"
3405,"15,738"
3406,"8,608"
3407,"4,904"
3408,"9,536"
3409,"15,973"
3410,"7,788"
3411,"14,318"
3412,"12,994"
3413,"10,318"
3414,"28,877"
3415,"25,482"
3416,"11,563"
3417,"27,691"
3418,"8,946"
3419,"11,170"
3420,"11,930"
3421,"26,854"
3422,"7,664"
3423,"6,778"
3424,"5,334"
3425,"7,768"
3426,"17,572"
3427,"14,494"
3428,"7,476"
3429,"10,393"
3430,"22,416"
3431,"6,866"
3432,"11,105"
3433,"11,317"
3434,"18,368"
3435,"8,806"
3436,"4,322"
3437,"8,146"
3438,"11,305"
3439,"14,452"
3440,"8,952"
3441,"21,092"
3442,"6,260"
3443,"5,348"
3444,"15,975"
3445,"4,365"
3446,"13,413"
3447,"4,234"
3448,"17,463"
3449,"12,042"
3450,"7,764"
3451,"8,320"
3452,"7,785"
3453,"9,063"
3454,"2,568"
3455,"5,839"
3456,"11,060"
3457,"7,367"
3458,"16,599"
3459,"4,287"
3460,"7,477"
3461,"11,573"
3462,"5,946"
3463,"8,861"
3464,"11,571"
3465,"11,096"
3466,"5,975"
3467,"4,854"
3468,"1,939"
3469,"2,948"
3470,"7,485"
3471,"10,732"
3472,"6,392"
3473,"5,010"
3474,"10,379"
3475,"4,841"
3476,"8,222"
3477,"3,590"
3478,"6,854"
3479,"9,649"
3480,"9,642"
3481,"4,605"
3482,"5,752"
3483,"3,400"
3484,"6,140"
3485,"3,622"
3486,"8,912"
3487,"1,594"
3488,"4,612"
3489,"6,029"
3490,"10,183"
3491,"2,884"
3492,"2,175"
3493,"5,030"
3494,"4,853"
3495,"4,066"
3496,"4,239"
3497,"7,831"
3498,"6,690"
3499,"3,169"
3500,"4,913"
3501,"1,448"
3502,"1,961"
3503,"1,546"
3504,"6,211"
3505,"3,977"
3506,"2,930"
3507,"6,510"
3508,"4,820"
3509,"2,120"
3510,"4,258"
3511,"1,337"
3512,"3,477"
3513,"4,565"
3514,"4,297"
3515,"1,969"
3516,"2,768"
3517,"3,757"
3518,"2,476"
3519,"2,526"
3520,"1,505"
3521,"4,260"
3522,"3,201"
3523,"2,488"
3524,"1,983"
3525,"3,509"
3526,"4,572"
3527,"7,222"
3528,"3,799"
3529,"2,328"
3530,"2,073"
3531,"2,651"
3532,"2,769"
3533,"2,203"
3534,"2,481"
3535,"2,251"
3536,"2,064"
3537,"2,181"
3538,841
3539,"2,174"
3540,"1,855"
3541,"2,597"
3542,"3,796"
3543,"2,132"
3544,"2,475"
3545,"1,130"
3546,"2,461"
3547,973
3548,"1,289"
3549,"3,954"
3550,"1,984"
3551,"1,274"
3552,"1,785"
3553,874
3554,"1,992"
3555,"3,951"
3556,"1,345"
3557,822
3558,743
3559,834
3560,821
3561,"3,066"
3562,"1,421"
3563,982
3564,"2,077"
3565,"3,003"
3566,"1,388"
3567,"1,555"
3568,720
3569,"3,261"
3570,"1,392"
3571,"1,511"
3572,"1,098"
3573,"1,797"
3574,904
3575,"2,408"
3576,788
3577,"1,036"
3578,322
3579,"1,707"
3580,615
3581,"1,202"
3582,"1,646"
3583,909
3584,"2,008"
3585,686
3586,"1,388"
3587,"1,076"
3588,858
3589,"1,033"
3590,460
3591,"1,077"
3592,895
3593,"1,108"
3594,557
3595,341
3596,662
3597,766
3598,585
3599,515
3600,"1,044"
3601,502
3602,"1,112"
3603,378
3604,335
3605,653
3606,"1,091"
3607,598
3608,256
3609,362
3610,758
3611,137
3612,362
3613,549
3614,191
3615,267
3616,257
3617,703
3618,264
3619,459
3620,692
3621,236
3622,"1,379"
3623,"1,069"
3624,496
3625,701
3626,985
3627,370
3628,401
3629,236
3630,120
3631,163
3632,889
3633,334
3634,539
3635,574
3636,390
3637,137
3638,115
3639,529
3640,425
3641,354
3642,612
3643,59
3644,265
3645,153
3646,285
3647,247
3648,325
3649,121
3650,397
3651,333
3652,52
3653,71
3654,72
3655,629
3656,63
3657,244
3658,657149
3659,290669
3660,136421
3661,232700
3662,344752
3663,327558
3664,163596
3665,159312
3666,116733
3667,251876
3668,160893
3669,220888
3670,132300
3671,122719
3672,188788
3673,202062
3674,"45,767"
3675,"78,732"
3676,117723
3677,"31,806"
3678,"38,787"
3679,"60,413"
3680,"31,300"
3681,"72,865"
3682,"28,619"
3683,"33,612"
3684,"54,394"
3685,"20,655"
3686,"27,878"
3687,"29,397"
3688,"24,827"
3689,"72,916"
3690,"25,221"
3691,"25,549"
3692,"37,177"
3693,"57,545"
3694,"41,820"
3695,"20,109"
3696,"34,548"
3697,"13,858"
3698,"17,198"
3699,"34,743"
3700,"20,118"
3701,"36,445"
3702,"30,849"
3703,"21,350"
3704,"20,150"
3705,"21,863"
3706,"29,350"
3707,"25,788"
3708,"32,831"
3709,"24,872"
3710,"25,500"
3711,"32,340"
