Unnamed: 0,Manufacturer,Model,Price,Transmission,Power,Engine CC,Fuel,Female,Male,Unknown,Total
61,Mazda,6,42.66935185,5.907407407,118.1851852,2095.185185,petrol,"17,216","71,632","4,536","93,384"
62,Citroen,C1,13.48615385,5.0,52.38461538,1028.923077,petrol,"57,228","30,691","4,503","92,422"
63,Suzuki,Swift,19.08518182,3.727272727,68.90909091,1180.545455,petrol,"49,829","34,918","6,070","90,817"
64,Ford,Galaxy,53.78571429,6.0,124.8571429,1855.0,diesel,"24,893","60,515","5,151","90,559"
65,Ford,,,,,,,,,,
66,Peugeot,308,32.33086957,5.891304348,103.1086957,1482.5,petrol,"36,010","50,045","4,024","90,079"
67,Mazda,3,30.99513158,5.789473684,101.8947368,1905.631579,peatrol,"32,724","52,309","4,647","89,680"
68,Audi,TT,64.59222222,6.777777778,178.5555556,2011.555556,petrol,"37,950","45,707","5,714","89,371"
69,Renault,Laguna,34.02059211,5.552631579,99.0,1920.026316,diesel,"16,346","66,613","3,850","86,809"
70,Mazda,2,21.6,6.0,64.625,1496.0,petrol,"51,314","29,852","5,032","86,198"
71,Fiat,Panda,10.42388889,5.0,52.44444444,1095.777778,petrol,"42,772","34,789","4,671","82,232"
72,Toyota,Auris,26.97346154,3.076923077,85.69230769,1515.282051,petrol,"30,032","47,251","4,747","82,030"
73,Peugeot,306,18.64264,4.84,67.0,1698.64,petrol,"26,596","50,801","3,897","81,294"
74,Peugeot,106,12.35588235,4.647058824,53.88235294,1366.294118,petrol,"35,920","41,148","3,722","80,790"
75,,106,,4.647058824,,1366.294118,,,"41,148",,
76,Volvo,V70,50.96109091,6.181818182,135.2909091,1971.163636,diesel,"14,323","59,903","4,431","78,657"
77,Citroen,Saxo,12.32981818,4.818181818,53.81818182,1367.272727,petrol,"33,281","38,039","3,354","74,674"
78,Volkswagen,Touran,32.98557692,6.230769231,94.03846154,1528.807692,diesel,"24,181","41,330","4,531","70,042"
79,Volkswagen,Beetle,33.25025,6.166666667,112.75,1475.0,petrol,"48,750","16,475","4,776","70,001"
80,Kia,Rio,22.95871429,6.285714286,80.0,998.0,petrol,"28,881","36,610","2,239","67,730"
81,Ford,C-MAX,32.1815,6.0,99.0,1448.6,petrol,"22,899","39,067","2,336","64,302"
82,BMW,X5,113.2693333,8.0,246.3333333,2994.666667,diesel,"14,588","45,819","3,268","63,675"
83,Nissan,Juke,28.23090909,6.454545455,86.0,999.0,petrol,"32,045","24,663","5,707","62,415"
84,Suzuki,Vitara,26.803,5.428571429,85.71428571,1310.0,petrol,"23,094","34,682","3,559","61,335"
85,Kia,Ceed,26.97522727,5.863636364,88.09090909,1460.795455,petrol,"20,296","37,398","1,991","59,685"
86,Peugeot,406,28.60820513,4.756410256,92.82051282,2043.820513,peatrol,"9,985","46,504","2,693","59,182"
87,Hyundai,Getz,13.63642857,4.714285714,69.0,1424.857143,petrol,"31,656","24,389","2,947","58,992"
88,Nissan,X-Trail,47.361875,3.75,113.375,1774.8125,diesel,"14,753","41,540","2,532","58,825"
89,Mercedes,CLK,72.79589474,6.210526316,166.3157895,3041.0,petrol,"16,438","38,415","3,538","58,391"
90,Volvo,S40,35.28132353,5.176470588,113.3529412,2106.5,petrol,"13,625","41,358","3,194","58,177"
91,Rover,75,39.35238095,5.0,98.04761905,1928.714286,petrol,"8,060","46,997","2,388","57,445"
92,Citroen,Berlingo,27.4386,6.34,85.28,1452.0,diesel,"16,005","37,450","2,902","56,357"
93,Suzuki,Alto,9.5628,4.6,50.0,996.0,petrol,"30,777","21,062","4,330","56,169"
94,Nissan,Primera,26.51269565,4.02173913,93.58695652,1933.021739,petrol,"11,421","41,096","3,286","55,803"
95,Hyundai,I20,21.847,6.090909091,70.72727273,1052.272727,peatrol,"26,745","26,734","2,019","55,498"
96,Mercedes,SLK,61.86283333,6.833333333,184.1666667,2748.333333,petrol,"25,424","24,741","3,794","53,959"
97,Ford,S-MAX,47.52333333,6.0,128.8888889,1886.555556,diesel,"17,823","31,973","2,374","52,170"
98,Mercedes,ML,77.41666667,7.0,188.3333333,2876.0,diesel,"13,819","35,260","3,081","52,160"
99,Kia,Sportage,43.97,6.6,115.3,1634.2,diesel,"17,864","32,328","1,642","51,834"
100,Peugeot,407,38.72769231,5.538461538,114.6538462,2178.192308,diesel,"8,990","40,589","2,246","51,825"
101,Citroen,C2,15.14,5.0,64.0,1382.75,petrol,"27,977","21,142","2,495","51,614"
102,Hyundai,I30,28.60918919,5.945945946,100.5945946,1387.621622,petrol,"18,187","31,244","2,059","51,490"
103,Jaguar,XF,78.74625,8.0,176.25,1997.0,diesel,"4,860","43,857","1,940","50,657"
104,Audi,A1,27.08277108,6.228915663,86.63855422,1377.566265,petrol,"29,771","17,678","2,342","49,791"
105,Mitsubishi,Colt,17.03876744,5.302325581,73.48837209,1374.046512,petrol,"25,109","20,915","2,781","48,805"
106,Audi,A5,59.43242424,7.0,150.4545455,1981.818182,petrol,"9,131","35,411","2,161","46,703"
107,Ford,Kuga,38.7525,0.0,165.0,2488.0,petrol,"16,836","27,761","1,331","45,928"
108,Toyota,Prius,33.798,0.0,96.0,1797.4,petrol,"10,848","29,616","4,383","44,847"
109,Jaguar,S-Type,66.58842105,5.736842105,172.3157895,2934.631579,petrol,"5,033","36,990","1,853","43,876"
110,Volvo,V50,36.52419118,5.176470588,113.3529412,2106.5,petrol,"11,687","29,574","2,481","43,742"
111,Ford,Escort,16.20874359,4.461538462,63.56410256,1650.205128,petrol,"10,678","31,223","1,626","43,527"
112,Volvo,XC90,85.82946154,8.0,213.1538462,1969.0,petrol,"12,860","26,579","2,834","42,273"
113,Citroen,C5,34.9090566,5.603773585,104.2264151,1805.924528,diesel,"6,565","33,777","1,831","42,173"
114,Volvo,V40,35.81481651,6.293577982,117.4311927,1921.46789,peatrol,"10,836","28,059","2,413","41,308"
115,BMW,X3,76.5922,8.0,184.0,2396.4,petrol,"13,661","24,013","2,645","40,319"
116,Volkswagen,Tiguan,44.30857143,6.714285714,108.0,1663.928571,petrol,"14,542","23,104","1,750","39,396"
117,Mercedes,B,41.38957143,7.285714286,105.7142857,1545.428571,diesel,"15,501","19,092","2,148","36,741"
118,Smart,Fortwo,19.9680625,2.8125,55.375,592.5625,automatic,"16,848","17,738","2,113","36,699"
119,Volkswagen,Bora,25.39952941,4.647058824,78.85294118,1891.588235,petrol,"7,942","26,706","1,758","36,406"
120,Rover,45,23.322,3.75,84.2,1853.9,petrol,"8,533","25,441","1,547","35,521"
121,Porsche,911,158.7922667,7.466666667,293.5333333,3005.4,petrol,"3,418","29,960","1,599","34,977"
122,Jaguar,XJ,137.5695455,8.0,223.5454545,2813.0,petrol,"2,641","30,739","1,496","34,876"
123,Subaru,Impreza,30.5976,1.8,97.6,1757.6,petrol,"5,965","27,537","1,348","34,850"
124,Saab,09-May,52.95719388,5.653061224,146.122449,2031.469388,petrol,"5,562","26,909","1,856","34,327"
125,Toyota,Celica,31.5255,5.166666667,109.6666667,1861.833333,petrol,"8,349","23,509","1,694","33,552"
126,Volkswagen,Sharan,45.6995,6.0,114.0,1854.2,diesel,"7,747","23,214","2,551","33,512"
127,Hyundai,Santa,44.14181818,6.545454545,144.6363636,2242.636364,diasel,"9,212","22,644","1,516","33,372"
128,Peugeot,208,22.84857143,6.523809524,73.23809524,1241.857143,peatrol,"17,430","13,875","1,215","32,520"
129,Volvo,S60,52.085,8.0,223.8333333,1969.0,petrol,"4,913","25,331","1,689","31,933"
130,Citroen,DS3,23.35964286,5.25,81.28571429,1410.357143,petrol,"17,367","13,057","1,231","31,655"
131,Renault,Modus,17.82333333,4.666666667,70.33333333,1298.666667,petrol,"15,260","13,701","1,747","30,708"
132,MG,ZR,21.02333333,5.0,92.33333333,1729.333333,petrol,"9,964","19,477","1,264","30,705"
133,Chrysler,Voyager,39.70773684,4.842105263,117.5789474,2719.842105,diasel,"9,318","19,359","1,712","30,389"
134,Kia,Sorento,36.01325,6.0,151.6666667,2048.666667,petrol,"7,821","20,969",907,"29,697"
135,BMW,Z4,64.109625,6.75,202.125,2778.0,petrol,"8,462","19,343","1,748","29,553"
136,Rover,2000,17.182,5.0,74.0,1994.0,petrol,"10,492","17,725","1,320","29,537"
137,Volkswagen,Up,17.065625,5.125,51.375,999.0,petrol,"17,894","10,220","1,082","29,196"
138,Suzuki,Jimny,25.94322222,4.777777778,67.0,1372.666667,petrol,"12,767","14,101","1,973","28,841"
139,Chevrolet,Matiz,9.492272727,4.909090909,40.81818182,850.2727273,petrol,"17,374","9,404","1,692","28,470"
140,Porsche,Boxster,83.50125,6.5,213.5,3071.0,petrol,"6,312","20,033","1,597","27,942"
141,Suzuki,Wagon,9.8628,5.0,50.0,1090.4,petrol,"12,804","12,629","1,891","27,324"
142,Peugeot,3008,40.98307692,7.307692308,114.2692308,1352.576923,petrol,"8,974","17,213","1,071","27,258"
143,Mazda,323,17.34364706,4.745098039,70.92156863,1683.607843,petrol,"9,404","15,999","1,566","26,969"
144,Ford,Puma,30.3775,6.3125,94.0625,935.625,petrol,"14,037","11,079","1,749","26,865"
145,Fiat,Stilo,22.77681818,5.272727273,92.36363636,1837.363636,petrol,"8,974","15,843","1,340","26,157"
146,Volkswagen,Scirocco,33.70615385,6.153846154,120.1538462,1750.615385,petrol,"6,728","17,313","1,072","25,113"
