,Male
434,"71,533"
435,"85,622"
436,128052
437,136621
438,114999
439,"82,971"
440,118619
441,"88,331"
442,"69,228"
443,106494
444,"51,512"
445,"94,411"
446,"88,266"
447,"57,846"
448,"71,223"
449,"66,910"
450,"25,022"
451,"80,809"
452,"80,938"
453,"51,565"
454,"55,455"
455,"79,932"
456,"80,960"
457,"28,808"
458,"47,502"
459,"50,901"
460,"62,488"
461,"46,762"
462,"33,457"
463,"29,302"
464,"60,942"
465,"70,401"
466,"48,036"
467,"32,927"
468,"33,203"
469,"49,655"
470,"43,118"
471,"61,464"
472,"27,305"
473,"44,024"
474,"27,246"
475,"60,125"
476,"31,900"
477,"40,144"
478,"50,957"
479,"15,748"
480,"53,513"
481,"46,180"
482,"38,145"
483,"36,370"
484,"44,621"
485,"44,046"
486,"39,339"
487,"24,971"
488,"32,920"
489,"41,320"
490,"36,270"
491,"42,242"
492,"21,391"
493,"31,972"
494,"23,022"
495,"33,840"
496,"21,401"
497,"30,071"
498,"39,156"
499,"17,302"
500,"36,186"
501,"27,360"
502,"26,230"
503,"21,175"
504,"30,561"
505,"28,459"
506,"25,673"
507,"28,040"
508,"26,102"
509,"25,342"
510,"28,811"
511,"34,071"
512,"24,389"
513,"30,041"
514,"29,522"
515,"15,328"
516,"25,664"
517,"22,223"
518,"32,310"
519,"22,209"
520,"26,700"
521,"20,343"
522,"24,087"
523,"29,319"
524,"19,790"
525,"12,866"
526,"20,696"
527,"25,713"
528,"15,348"
529,"21,659"
530,"16,257"
531,"18,353"
532,"11,917"
533,"13,694"
534,"16,828"
535,"17,019"
536,"13,486"
537,"13,704"
538,"9,662"
539,"18,193"
540,"19,736"
541,"19,388"
542,"16,898"
543,"8,658"
544,"9,204"
545,"13,523"
546,"12,762"
547,"19,018"
548,"15,165"
549,"13,174"
550,"9,972"
551,"12,542"
552,"11,717"
553,"12,874"
554,"13,628"
555,"15,266"
556,"12,914"
557,"13,806"
558,"13,293"
559,"9,308"
560,"10,578"
561,"15,878"
562,"15,426"
563,"12,611"
564,"9,604"
565,"12,911"
566,"10,101"
567,"15,505"
568,"13,832"
569,"11,275"
570,"6,133"
571,"13,101"
572,"10,481"
573,"9,969"
574,"14,972"
575,"11,396"
576,"7,561"
577,"11,576"
578,"6,981"
579,"9,912"
580,"6,484"
581,"13,837"
582,"5,786"
583,"11,314"
584,"10,304"
585,"11,682"
586,"10,991"
587,"11,166"
588,"9,404"
589,"5,880"
590,"10,578"
591,"10,495"
592,"8,465"
593,"9,185"
594,"11,854"
595,"6,213"
596,"7,669"
597,"7,999"
598,"8,559"
599,"10,530"
600,"5,446"
601,"2,120"
602,"7,187"
603,"7,741"
604,"5,074"
605,"8,265"
606,"9,249"
607,"8,430"
608,"6,007"
609,"8,810"
610,"4,471"
611,"9,333"
612,"6,703"
613,"6,996"
614,"7,870"
615,"4,380"
616,"7,405"
617,"9,618"
618,"5,000"
619,"6,017"
620,"5,585"
621,"5,239"
622,"7,787"
623,"8,700"
624,"5,040"
625,"7,590"
626,"8,088"
627,"4,035"
628,"7,716"
629,"5,584"
630,"8,506"
631,"5,613"
632,"7,853"
633,"5,829"
634,"3,960"
635,"6,369"
636,"5,079"
637,"6,134"
638,"7,068"
639,"5,148"
640,"5,155"
641,"6,395"
642,"6,410"
643,"3,170"
644,"4,488"
645,"6,455"
646,"5,825"
647,"4,738"
648,"6,298"
649,"3,408"
650,"4,403"
651,"4,513"
652,"3,140"
653,"5,844"
654,"5,128"
655,"5,486"
656,"4,943"
657,"3,835"
658,"4,707"
659,"2,725"
660,"4,988"
661,"4,954"
662,"4,980"
663,"3,903"
664,"3,529"
665,"3,201"
666,"3,594"
667,"4,728"
668,"3,922"
669,"3,308"
670,"3,117"
671,"4,700"
672,"2,884"
673,"3,362"
674,"3,243"
675,"3,349"
676,"2,592"
677,"4,386"
678,"3,120"
679,"3,098"
680,"3,886"
681,"3,386"
682,"3,694"
683,"4,020"
684,"2,819"
685,"3,059"
686,"1,965"
687,"2,917"
688,"1,961"
689,"3,048"
690,"3,126"
691,"2,488"
692,"2,917"
693,"2,667"
694,"3,310"
695,"3,058"
696,"2,674"
697,"2,359"
698,"2,328"
699,"2,081"
700,"2,192"
701,"2,215"
