Manufacturer,Model,Price,Transmission,Power,Engine CC,Fuel,Female,Male,Unknown,Total
Suzuki,Vitara,26.8,5.43,85.71,1310.0,petrol,14187,17513,1159,32859
Land-Rover,Range,107.67,8.28,196.34,2521.09,diesel,4554,26288,752,31594
Volvo,940,30.24,4.5,110.0,2316.0,petrol,5013,24679,1774,31466
Fiat,Cinquecento,7.71,5.0,29.0,899.0,petrol,18226,11890,1236,31352
Mercedes,300,62.4,4.38,135.5,2972.31,petrol,5163,22996,1336,29495
Toyota,Celica,31.53,5.17,109.67,1861.83,petrol,7136,21148,938,29222
Honda,Prelude,27.79,4.67,110.67,2050.33,petrol,8633,17452,1097,27182
Mercedes,CLA,46.53,7.04,131.6,1596.92,petrol,4871,19807,1458,26136
Hyundai,Pony,10.32,4.14,54.36,1463.86,petrol,9310,15195,592,25097
Renault,Espace,59.0,7.0,166.0,1798.0,petrol,5371,18135,1443,24949
Volvo,460,20.5,4.14,72.43,1824.43,petrol,5252,18252,1079,24583
Datsun,Sunny,11.82,4.62,56.86,1520.95,petrol,7437,16332,553,24322
Toyota,MR2,34.19,6.0,103.0,1794.0,petrol,8140,14850,989,23979
Renault,9,11.5,4.75,50.25,1507.5,petrol,7579,15112,535,23226
Peugeot,305,12.61,4.5,56.25,1607.25,petrol,5227,17166,642,23035
Honda,Concerto,16.67,4.5,74.0,1541.5,petrol,6177,15684,1073,22934
Toyota,Camry,30.01,3.2,115.47,2245.6,petrol,3500,18064,780,22344
Mitsubishi,Colt,17.04,5.3,73.49,1374.05,petrol,9972,10687,814,21473
Volvo,850,36.38,4.5,125.71,2294.76,petrol,3011,16919,1500,21430
BMW,740i,115.53,8.0,250.0,2998.0,petrol,2351,17800,666,20817
Land-Rover,Range,107.67,8.28,196.34,2521.09,diesel,3271,16285,792,20348
Volkswagen,Beetle,33.25,6.17,112.75,1475.0,petrol,8015,11685,594,20294
Suzuki,Swift,19.09,3.73,68.91,1180.55,petrol,9571,9605,595,19771
Mercedes,E,78.07,7.67,192.4,2598.82,petrol,2726,15102,1059,18887
Mitsubishi,Galant,25.08,4.53,93.6,2127.33,petrol,3111,15241,534,18886
Peugeot,505,20.66,4.96,67.0,2234.26,petrol,3745,13868,961,18574
Toyota,Starlet,11.39,4.14,53.0,1308.29,petrol,9613,7785,570,17968
Nissan,Prairie,21.41,4.5,72.0,1974.0,petrol,4836,12323,614,17773
Skoda,Felicia,11.37,5.0,48.0,1518.0,petrol,4528,11898,506,16932
Renault,Megane,26.45,5.41,87.31,1623.79,petrol,5748,10371,729,16848
Opel,Manta,11.98,4.0,69.0,1762.75,petrol,3037,13289,269,16595
Fiat,Tempra,17.92,4.19,64.48,1759.19,petrol,3206,12871,418,16495
Hyundai,Lantra,16.45,4.67,78.0,1741.0,petrol,3283,12527,370,16180
Skoda,120,3.33,4.6,15.6,469.6,petrol,4801,10763,275,15839
Daewoo,Nexia,12.48,4.67,58.67,1498.0,petrol,4462,10178,777,15417
Datsun,Cherry,8.4,4.33,44.56,1350.0,petrol,5846,8883,386,15115
Kia,Pride,9.36,4.33,47.0,1324.0,petrol,7366,7205,469,15040
Renault,18,12.85,4.64,57.36,1849.55,petrol,3240,11445,325,15010
Citroen,XM,36.36,4.55,110.5,2345.1,petrol,1732,12679,567,14978
Mitsubishi,Space,23.17,3.95,82.16,1817.32,petrol,4168,8914,861,13943
Hyundai,Accent,14.29,4.6,75.4,1479.0,petrol,4739,8641,394,13774
Audi,Coupe,35.87,5.59,117.02,1980.63,petrol,2149,10872,457,13478
Suzuki,SJ,8.47,4.6,41.4,1182.4,petrol,5353,7482,346,13181
Nissan,Almera,22.78,4.92,81.67,1847.67,petrol,4261,8418,437,13116
Toyota,RAV4,43.55,1.35,137.77,2261.19,petrol,5064,6759,700,12523
Mazda,MX-5,37.47,5.86,103.43,1718.57,petrol,4752,5798,872,11422
Audi,A4,57.93,6.16,149.71,2283.11,petrol,1660,8678,702,11040
Fiat,Regata,12.74,4.64,54.0,1559.18,petrol,2661,8133,235,11029
Ford,Scorpio,30.86,4.45,105.55,2458.91,petrol,1062,9638,307,11007
Subaru,Legacy,37.52,3.9,107.38,2084.38,petrol,2532,7487,974,10993
Subaru,Justy,11.74,5.0,51.0,998.0,petrol,5394,4827,755,10976
Toyota,Previa,43.08,4.67,105.0,2239.67,petrol,2667,7481,669,10817
Audi,90,28.38,4.6,91.6,2181.2,petrol,1713,8437,336,10486
Mitsubishi,Lancer,23.02,4.73,90.88,1709.54,petrol,2978,6963,316,10257
Seat,Toledo,20.37,5.64,74.21,1324.36,petrol,1769,7912,260,9941
Honda,Integra,17.53,4.6,78.4,1549.8,petrol,2848,6521,351,9720
Ford,Probe,24.84,5.0,102.0,2244.0,petrol,2108,7074,300,9482
Citroen,Saxo,12.33,4.82,53.82,1367.27,petrol,4777,4143,373,9293
Ford,Maverick,29.15,5.0,89.0,2526.5,petrol,2054,6570,318,8942
Toyota,Supra,81.3,8.0,250.0,2998.0,petrol,1311,7300,229,8840
Porsche,944,59.49,5.0,137.5,2734.5,petrol,1509,6949,322,8780
Opel,Kadett,13.31,4.09,53.34,1518.68,petrol,2893,5597,186,8676
Seat,Marbella,6.49,5.0,30.0,903.0,petrol,5159,3288,229,8676
Datsun,Stanza,9.58,4.5,61.67,1668.33,petrol,2199,6114,200,8513
Hyundai,Stellar,11.26,4.5,55.0,1597.0,petrol,1420,6794,143,8357
Alfa-Romeo,33,13.82,5.0,66.0,1351.0,petrol,1822,6181,294,8297
Toyota,Tercel,10.0,4.33,49.33,1347.67,petrol,2772,5213,256,8241
